Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
village.13,Деревеньки,Fairhaven,Krytňany,Refulgor,Refugio Hermoso,Ostoja,菲尔黑文,費爾黑文,フェアヘイブン,페어헤이븐,Rechtenhort,Havrejuste,Portobello,,Pompásrév,Фейргевен,Cảng Tốt
village.14,Дубровка,Fallowfield,Ladonice,Pousio,Campo Pajizo,Ugór,法洛菲尔德,法洛菲爾德,フォローフィールド,팰로우필드,Brachfeld,Frichette,Fondo Incolto,,Ugaros,Феллоуфілд,Cánh Đồng Bỏ Hoang
village.15,Дьяково,Frostholm,Mrazovec,Forte Geada,Encina Helada,Mrozownia,弗罗斯特霍姆,冰霜島,フロストホルム,프로스트홀름,Frostholm,Givrîle,Riva Gelata,,Fagyhalom,Фростгольм,Làng Sương Mù
village.16,Ястребиное,Glimmerdale,Třpytín,Vale Fulgor,Valle Centelleante,Błyszczysko,烁光谷,微光山谷,グリマーデール,글리머데일,Glanztal,Valueur,Valle Radiosa,,Csillámvölgy,Ґліммердейл,Thung Lũng Lấp Lánh
village.17,Жилино,Goldengrove,Zlatoháj,Arvoredo Áureo,Arboleda Dorada,Złotoryja,古登格罗夫,黃金林,ゴールデングローブ,골든그로브,Goldhain,Bois doré,Selvadoro,,Aranyliget,Ґолденґроув,Rừng Vàng
village.18,Заречье,Greenhaven,Zelenice,Madrigueira,Refugio Verde,Zielona Przystań,格林黑文,綠境鎮,グリーンヘイブン,그린헤이븐,Grünhausen,Refujade,Oasi Verde,,Zöldrév,Ґрінгевен,Nơi Xanh Tươi
village.19,Яхрома,Greystone,Šedokam,Rocha Cinzenta,Piedra Gris,Szarokamień,灰石镇,灰石鎮,グレイストーン,그레이스톤,Graustein,Gripierre,Pietragrigia,,Szürkeszirt,Ґрейстоун,Đá Xanh
village.20,Знаменка,Hallowdale,Svatoháj,Grutabrigo,Valle Sagrado,Święta Dolina,圣贤谷,神聖山谷,ハロウデール,할로데일,Heiligensenke,Saint Val,Valle Sacra,,Áldottvölgy,Голлоудейл,Thung Lũng Thần Bí
village.21,Ивановка,Hawkhurst,Sokolín,Ninho das Águias,Floresta del Halcón,Jastrzębiogród,隼林镇,霍克赫斯特,ホークハースト,호크허스트,Falkenhorst,La fauconnerie,Riva del Falco,,Sólyomhalom,Гокгурст," Đại Bàng"
village.22,Излучино,Ironwood,Železov,Bosque Férreo,Bosque de Hierro,Żelazodrew,艾恩伍德,鐵木鎮,アイアンウッド,아이언우드,Eisenwald,Bois de fer,Bosco Ferroso,,Vasberek,Айронвуд,Gỗ Sắt
village.23,Ильинка,Kingsbridge,Kralmost,Ponte Real,Puente del Rey,Most Króla,金斯布里奇,金斯布里奇,ギングスブリッジ,킹스브릿지,Königsbrück,Pont-royal,Ponte del Re,,Királyhida,Кінґсбрідж,Cầu Vua
village.24,Каменское,Lockwood,Zámkov,Muralha Arbórea,Bosque Cerrado,Gęstobór,洛克伍德,洛克鎮,ロックウッド,록우드,Riegelwald,L'écluse du bois,Bosco Schivo,,Bozótpagony,Локвуд,Rừng Khóa
village.25,Кедровка,Meadowvale,Loučenín,Valprado,Valle del Meandro,Łąkowice,芳茵谷,茵草谷,メドウベール,미도우베일,Wiesental,Valpré,Valle Agreste,,Mezővölgy,Мідоувейл,Thung Lũng Đồng Cỏ
village.26,Княжево,Mistwood,Mlženice,Nevoarbórea,Bosque Nublado,Mglisty Gaj,米斯特伍德,迷霧林,ミストウッド,미스트우드,Nebelwald,Sylvebrume,Bosco Brumoso,,Ködpagony,Міствуд,Rừng Sương Mù
village.27,Колодежи,Moonvale,Měsíčnice,Vale da Lua,Valle Lunar,Księżycowa Dolina,月华谷,明月谷,ムーンベール,문베일,Mondtiefe,Valune,Valle Lunare,,Holdvölgy,Мунвейл,Lũng Mặt Trăng
village.28,Красногорье,Oakheart,Dubovice,Âmago Perene,Corazón de Roble,Serce Dębu,奥克哈特,奥克赫特,オークハート,오크허트,Eichenherz,Cœur de chêne,Cuordiquercia,,Tölgyes,Окхарт,Trái Tim Cây Sồi
village.29,Яровое,Pinehurst,Smrková Lhota,Pinheiral,Floresta del Pinar,Szyszka,松荫镇,派恩赫斯特,パインハースト,파인허스트,Kiefernhorst,Bosquépine,Riva Pineta,,Fenyves,Пайнгарст,Đồi Thông
village.30,Липки,Ravenwood,Havranín,Bosque dos Corvos,Bosque del Cuervo,Kruczylas,雷文伍德,鴉木鎮,レイブンウッド,레이븐우드,Rabenwald,Sylvemerle,Bosco Corvino,,Hollóberek,Рейвенвуд,Rừng Quạ
village.31,Ломово,Redridge,Rudohřbet,Costa Rubra,Risco Rojo,Czerwińsk,雷德里奇,赤脊鎮,レッドリッジ,레드릿지,Rotfirst,Pourpre-crête,Crestarossa,,Vörösorom,Редрідж,Đồi Đỏ
village.32,Лужки,Riverbend,Poříčí,Meandro,Meandro del Río,Meander,河湾镇,河灣鎮,リバーベンド,리버벤드,Flussbeugen,Courbefleuve,Ansa,,Folyókanyar,Рівербенд,Khúc Cong Sông
village.33,Лыткарино,Rosewood,Růženín,Roseiral,Bosque de la Rosa,Różanka,薇林镇,紅木鎮,ローズウッド,로즈우드,Rosenwald,Sylverose,Bosco Roseo,,Rózsaliget,Роузвуд,Gỗ Hồng
village.34,Малиновка,Silverkeep,Stříbrolit,Forte Argento,Bastión Argénteo,Srebrogród,辉银堡,白銀堡,シルバーキープ,실버킵,Silberfeste,Fort d'argent,Roccargentea,,Ezüstvárad,Сільверкіп,Thành Bạc
village.35,Медвежье,Stonefield,Kamenov,Prado Penedo,Campo de Piedra,Kamienne Pole,斯通菲尔德,斯通菲爾德,ストーンフィールド,스톤필드,Steinfeld,Rochechamp,Campo Petroso,,Kövesrét,Стоунфілд,Cánh Đồng Đá
village.36,Мельничное,Stormwatch,Bouřenín,Velatempestade,Vigía de la Tormenta,Grzmociny,雨岚台,風望鎮,ストームウォッチ,스톰와치,Sturmwacht,Guet des vents,Torre Tempesta,,Vihartorony,Стормвотч,Trạm Bão
village.37,Михайловка,Suncrest,Slunečná Lhota,Brasão Solar,Cresta Solar,Słoneczny Herb,森克雷斯特,桑克雷斯特,サンクレスト,선크레스트,Sonnkamm,Solcrête,Cresta Solare,,Naposorom,Санкрест,Đỉnh Mặt Trời
village.38,Новокаменка,Thornfield,Trnonice,Espinhal,Campo de la Espina,Cierniopol,索恩菲尔德,桑菲爾德,ソーンフィールド,쏜필드,Dornfeld,Pré aux ronces,Piana Spinosa,,Tövismező,Торнфілд,Cánh Đồng Gai
village.39,Озерки,Timberwood,Dřevěná Lhota,Madeirame,Bosque Leñoso,Drwalownia,缇伯尔伍德,林木鎮,ティンバーウッド,팀버우드,Tiefenwalde,Sylvebûche,Bosco Ligneo,,Szálerdő,Тімбервуд,Rừng Gỗ
village.40,Орехово,Truehold,Pravdov,Bastião da Verdade,Fuerte Verdadero,Niezdobycz,守真堡,楚后鎮,トゥルーホールド,트루홀드,Treuhalt,Vériguette,Rocca Verace,,Valóvárad,Труголд,Thành Trì Chính Xác
village.41,Погорелое,Vinterhall,Zimosad,Passogélido,Salón Invernal,Zimowice,温特哈尔,溫特霍爾,ビンターホール,빈터홀,Winterhall,Castelneige,Dimora Invernale,,Borvárad,Вінтергол,Vinterhall
village.42,Поляново,Westvale,Západnice,Vale Oeste,Valle del Oeste,Zachodnia Dolina,威斯特瓦尔,西谷,ウエストベール,웨스트베일,Westtal,Val du couchant,Val Calante,,Nyugatvölgy,Вествейл,Thung Lũng Phía Tây
village.43,Привольное,Whitebridge,Bělomost,Ponte Alva,Puente Blanco,Białomost,白桥镇,白橋鎮,ホワイトブリッジ,화이트브릿지,Weißbrück,Pâlepont,Pontebianco,,Fehérhida,Вайтбрідж,Cầu Trắng
village.44,Приозерное,Wildwood,Divoká Lhota,Arvoredo Selvagem,Bosque Salvaje,Dziczarnia,野林镇,野林鎮,ワイルドウッド,와일드우드,Wildwald,Boissauvage,Bosco Brado,,Vadberek,Вайлдвуд,Rừng Hoang Dã
village.45,Пустошь,Windermere,Širočina,Lago Álgido,Windermere,Podmuch,温德米尔,溫德米爾,ウィンダミア,윈더미어,Windteichen,Marauvent,Lago Sospiro,,Szelespuszta,Віндермер,Hồ Gió
village.46,Раменское,Winterhaven,Zimoháj,Reduto Invernal,Refugio Invernal,Zimowa Opoka,无冬镇,冬境鎮,ウィンターヘイブン,윈터헤이븐,Winterhafen,Refugivre,Approdo Algido,,Télirév,Вінтергевен,Nơi Ẩn Nấp Mùa Đông
village.47,Речное,Wolford,Vlkanov,Vaucanis,Vado del Lobo,Wilkasy,沃尔福德,沃爾福德,ウルフォード,월퍼드,Wollfurt,Gué au loup,Guado Lupino,,Farkasrév,Вульфорд,Đất Sói
village.48,Рогово,Woodford,Dřevobrod,Vau Arbor,Vado del Bosque,Drzewogród,伍德福德,伍德福德,ウッドフォード,우드퍼드,Waldfurt,Gué-sous-bois,Guado Boschivo,,Erdősrév,Вудфорд,Đất Gỗ
village.49,Романовка,Wyrmwood,Drakobor,Artemisal,Bosque de la Sierpe,Żmijowisko,瑞姆伍德,威姆伍德,ウィルムウッド,웜우드,Wurmholzen,Sylvouivre,Bosco del Drago,,Sárkánypagony,Вірмвуд,Rừng Rồng
village.50,Рощино,Yewdale,Tisov,Baixada dos Teixos,Valle del Tejo,Cisowa Dolina,紫杉谷,尤代爾,ユーデール,유데일,Eibental,Vald'if,Val Rugiada,,Tiszafakatlan,Юдейл,Thung Lũng Cây Thư
village.51,Рудниково,Briarcliff,Vřesráz,Fragoso Espinheiro,Acantilado del Escaramujo,Wrzosowisko,石楠崖,布萊爾克利夫,ブライアクリフ,브라이어클리프,Strauchklippen,Mont aux ronces,Rupe Spina,,Hangaszirt,Брайаркліф,Đồi Gai
village.52,Сельцо,Brighthollow,Jasnora,Vale da Luz,Hondonada Brillante,Jasna Dolina,明光谷,光明谷,ブライトホロー,브라이트홀로,Heitermulde,Valclair,Conca Lucente,,Derűsvölgy,Брайтголлоу,Thung Lũng Sáng
village.53,Серебряное,Castleford,Hradobrod,Castelo da Travessia,Vado del Castillo,Warownia,卡瑟福德,卡斯爾福德,キャッスルフォード,캐슬퍼드,Schlossfurt,Château du gué,Guado Arroccato,,Révvárad,Каслфорд,Cánh Đồng Thành
village.54,Синегорье,Dawnfield,Rozbřeskov,Planície Alvorada,Campo del Alba,Świtoziem,道恩菲尔德,道恩菲爾德,ドーンフィールド,던필드,Dämmerfeld,Pré de l'aube,Pian dell'Alba,,Hajnalrét,Донфілд,Cánh Đồng Bình Minh
village.55,Синицыно,Dragon's Rest,Dračí Slet,Refúgio do Dragão,Descanso del Dragón,Smocze Gniazdo,巨龙之憩,龍棲鎮,ドラゴンズレスト,드래곤즈 레스트,Drachenruh,Nid du dragon,Riposo del Drago,,Sárkányzug,Дреґонс-Рест,Nơi Nghỉ Ngơi Của Rồng
village.56,Сладково,Eastwatch,Východní Hláska,Pico Leste,Vigía del Este,Wschodnia Warownia,东望郡,東望鎮,イーストウォッチ,이스트워치,Ostwacht,Fort-levant,Torre Orientale,,Keletőr,Іствотч,Trạm Đông
village.57,Соловьи,Elderwood,Pralesnice,Bosque Antigo,Bosque Antiguo,Prastarnia,艾德伍德,接骨木鎮,エルダーウッド,엘더우드,Altenwald,Bois des sages,Bosco Antico,,Bodzásliget,Елдервуд,Rừng Cổ
village.58,Сосновка,Farwatch,Dálnov,Vigia Remota,Vigía Lejana,Bastion,法尔沃奇,法望鎮,ファーウォッチ,파워치,Weitenblick,Fort-lointain,Torre Remota,,Messzizug,Фарвотч,Trạm Xa
village.59,Стародуб,Firestone,Ohnivice,Rochedo Ígneo,Piedra de Fuego,Żarkamień,火石镇,燧石鎮,ファイヤーストーン,파이어스톤,Feuerstein,Rocheflamme,Pietrafiamma,,Tüzesszirt,Файерстоун,Đá Lửa
village.60,Сухиничи,Greenhollow,Zelenora,Valverde,Hondonada Verde,Kwietna Dolina,葱茏谷,綠蔭谷,グリーンホロー,그린홀로,Grünhöhl,Vertevallée,Conca Florida,,Zöldkatlan,Ґрінголлоу,Thung Lũng Xanh
village.61,Тихоново,Hearthglen,Hvozdice,Vale dos Ninhos,Cañada del Hogar,Upalna Kotlina,壁炉谷,赫特葛蘭,ハースグレン,허스글렌,Schmiedtal,Foyer-sur-combe,Valfocolare,,Honszurdok,Хертґлен,Thung Lũng Bếp Lửa
village.62,Травники,Highgarden,Vyšší Sady,Jardim Elevado,Jardín Alto,Zaroślisko,海格登,高庭鎮,ハイガーデン,하이가든,Hochgarten,Haut-jardin,Alto Cortile,,Felsőkertes,Хайгарден,Vườn Cao
village.63,Тростниково,Ironhold,Železný Brod,Forteférreo,Fuerte de Hierro,Żelazny Dwór,坚铁堡,鐵后鎮,アイアンホールド,아이언홀드,Eisenhalt,Fortferré,Forte Ferroso,,Vasvárad,Айронголд,Thành Được Bảo Vệ
village.64,Угловка,Larkspur,Stračenín,Pontal das Cotovias,Espolón de la Alondra,Ostróżka,燕草镇,飛燕鎮,ラークスパー,라크스퍼,Lerchensporn,Dauphinelles,Ranuncolata,,Pacsirtaszirt,Ларкспур,Hoa Mỏ Neo
village.65,Устье,Mistvale,Mlžná Lhota,Vale das Brumas,Valle Nublado,Wyziewnia,迷雾谷,薄霧谷,ミストベール,미스트베일,Nebeltal,Val de brume,Valle Brumosa,,Ködkatlan,Міствейл,Thung Lũng Sương Mù
village.66,Федоровка,Moorfield,Mokřady,Urzaral,Campo del Páramo,Wrzosowo,穆尔菲尔德,莫爾菲爾德,ムーアフィールド,무어필드,Moorfeld,Tourbechamps,Bassa Brughiera,,Láprét,Мурфілд,Cánh Đồng Đầm Lầy
village.67,Хомяково,Nighthollow,Nočelín,Baixada Poente,Hondonada Nocturna,Nocna Dolina,谧夜谷,暗夜谷,ナイトホロー,나이트홀로,Nachtkuhlen,Valdenuit,Conca Notturna,,Éjvölgy,Найтголлоу,Thung Lũng Ban Đêm
village.68,Чернево,Northwind,Severvan,Brisa Norte,Viento del Norte,Wicher Północy,北风郡,北風鎮,ノースウィンド,노스윈드,Nordwinden,Nordet,Brezza del Nord,,Északszellő,Нортвінд,Gió Bắc
village.69,Черничное,Oakenshield,Duboštít,Broquel Sobreiro,Escudo de Roble,Dębowa Tarcza,橡盾堡,奥肯希爾德,オークンシールド,오큰실드,Eichenschilde,L'écu de chêne,Querciascudo,,Tölgypajzsos,Оукеншілд,Khiên Cây Sồi
village.70,Шелково,Ravenswatch,Krkavice,Vigília dos Corvos,Vigía del Cuervo,Krucza Straż,盘鸦镇,鴉衛鎮,レイベンスワッチ,레이븐스워치,Rabenwacht,Fort du corbin,Torre del Corvo,,Hollótornya,Рейвенсвотч,Trạm Quạ
village.71,Шумилкино,Seabrook,Přímořín,Arroiomar,Arroyo Marino,Morski Nurt,海溪郡,西布魯克,シーブルック,시브룩,Seebach,Rudemer,Riomarino,,Tengerpatak,Сібрук,Suối Biển
village.72,Щеглы,Shadowfen,Stínohrad,Charco das Sombras,Ciénaga Sombría,Bagniskomrok,夏朵芬,暗影沼澤,シャドウフェン,섀도펜,Schattenmarsch,Maraissombre,Pantano Ombroso,,Árnyasláp,Шедоуфен,Đầm Lầy Bóng Tối
village.73,Юрьевка,Stillwater,Zátišín,Imotágua,Aguas Quietas,Barzoł,死水镇,靜水鎮,スティルウォーター,스틸워터,Stillwasser,Paisible-les-eaux,Acqua Immota,,Csendesvíz,Стілвотер,Nước Tĩnh
village.74,Ягодное,Stonegate,Kamenná Brána,Portal da Pedra,Portal de Piedra,Kamienny Przystęp,斯登盖特,石門鎮,ストーンゲート,스톤게이트,Steintor,Portempierre,Varco Roccioso,,Sziklakapu,Стоунгейт,Cổng Đá
village.75,Ямкино,Thistlewood,Chvojín,Campocardo,Bosque del Cardo,Ostrożeń,西斯尔伍德,薊木鎮,シスルウッド,시슬우드,Distelwald,Bois aux chardons,Bosco del Cardo,,Bogáncsliget,Тістлвуд,Rừng Gai
village.76,Яровое,Whitestone,Bělokam,Rocha Branca,Piedra Blanca,Biała Skała,白石镇,白石鎮,ホワイトストーン,화이트스톤,Weißenstein,Rochepâle,Pietrabianca,,Fehérkő,Вайтстоун,Đá Trắng
village.77,Ясногорье,Windholm,Větrná Lhota,Domínio do Vento,Encina Ventosa,Wietrzanka,温德霍姆,蕭風島,ウィンドホルム,윈드홀름,Windholme,Vent des îles,Riva Ventosa,,Szeleshalom,Віндгольм,Nhà Gió
