Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
actor.deep_social_alias.deep_talk_4,{name_initiator} cheered up {name_target},{name_initiator} приободрил {name_target},{name_initiator} cheered up {name_target},{name_initiator} cheered up {name_target},{name_initiator} rozveseluje osobu {name_target},{name_initiator} alegrou {name_target},{name_initiator} ha animado a {name_target},{name_initiator} rozwesela {name_target},{name_initiator}使{name_target}振作了起来,{name_initiator}對{name_target}加油打氣,{name_initiator}は{name_target}を励ました,{name_initiator}이(가) {name_target}을(를) 격려했습니다.,{name_initiator} hat {name_target} aufgemuntert,{name_initiator} a remotivé {name_target},{name_initiator} ha rallegrato {name_target},"{name_target}, {name_initiator} tarafından neşelendirildi.",{name_initiator} felvidította {name_target} nemest,{name_initiator} підбадьорює: {name_target},{name_initiator} đã làm {name_target} vui lên
actor.deep_social_alias.deep_talk_5,{name_initiator} thanked {name_target},{name_initiator} поблагодарил {name_target},{name_initiator} thanked {name_target},{name_initiator} thanked {name_target},{name_initiator} děkuje osobě {name_target},{name_initiator} agradeceu a {name_target},{name_initiator} le ha dado las gracias a {name_target},{name_initiator} dziękuje {name_target},{name_initiator}感谢了{name_target},{name_initiator}向{name_target}表示謝意,{name_initiator}は{name_target}に礼を述べた,{name_initiator}이(가) {name_target}에게 감사를 표했습니다.,{name_initiator} hat sich bei {name_target} bedankt,{name_initiator} a remercié {name_target},{name_initiator} ha ringraziato {name_target},"{name_initiator}, {name_target} tarafından teşekkür edildi.",{name_initiator} köszönetet mondott {name_target} nemesnek,{name_initiator} дякує: {name_target},{name_initiator} đã cảm ơn {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} complimented {name_target},{name_initiator} сказал комплимент {name_target},{name_initiator} complimented {name_target},{name_initiator} complimented {name_target},{name_initiator} vzdává poklonu osobě {name_target},{name_initiator} elogiou {name_target},{name_initiator} le ha hecho un cumplido a {name_target},{name_initiator} komplementuje {name_target},{name_initiator}赞美了{name_target},{name_initiator}由衷稱讚{name_target},{name_initiator}は{name_target}に賛辞を述べた,{name_initiator}이(가) {name_target}을(를) 칭찬했습니다.,{name_initiator} hat {name_target} ein Kompliment gemacht,{name_initiator} a complimenté {name_target},{name_initiator} ha fatto un complimento a {name_target},"{name_target}, {name_initiator} tarafından övüldü.",{name_initiator} bókolt {name_target}nemesnek,{name_initiator} робить комплімент: {name_target},{name_initiator} đã khen ngợi {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} gave credit to {name_target},{name_initiator} воздал должное {name_target},{name_initiator} gave credit to {name_target},{name_initiator} gave credit to {name_target},{name_initiator} uznává zásluhy osoby {name_target},{name_initiator} deu crédito a {name_target},{name_initiator} le ha otorgado reconocimiento a {name_target},{name_initiator} docenia {name_target},{name_initiator}认可了{name_target}的贡献,{name_initiator}對{name_target}的貢獻致謝,{name_initiator}は{name_target}を称賛した,{name_initiator}이(가) {name_target}에게 공을 돌렸습니다.,{name_initiator} hat {name_target} Anerkennung gezollt,{name_initiator} a rendu hommage à {name_target},{name_initiator} ha dato credito a {name_target},"{name_target}, {name_initiator} tarafından övüldü.",{name_initiator} elismerőleg szólt {name_target} nemesről,{name_initiator} віддає шану: {name_target},{name_initiator} đã ghi nhận {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} mocked {name_target},{name_initiator} издевался над {name_target},{name_initiator} mocked {name_target},{name_initiator} mocked {name_target},{name_initiator} zesměšňuje osobu {name_target},{name_initiator} zombou de {name_target},{name_initiator} se ha burlado de {name_target},{name_initiator} szydzi z {name_target},{name_initiator}嘲笑了{name_target},{name_initiator}嘲笑了{name_target}一番,{name_initiator}は{name_target}をあざ笑った,{name_initiator}이(가) {name_target}을(를) 조롱했습니다.,{name_initiator} hat sich über {name_target} lustig gemacht,{name_initiator} a raillé {name_target},{name_initiator} ha schernito {name_target},"{name_initiator}, {name_target} ile dalga geçti.",{name_initiator} csúfolta {name_target} nemest,{name_initiator} кепкує з: {name_target},{name_initiator} đã chế giễu {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} made a fool of {name_target},{name_initiator} выставил дураком {name_target},{name_initiator} made {name_target} look like a fool,{name_initiator} made {name_target} look like a fool,{name_initiator} dělá z osoby {name_target} hlupáka,{name_initiator} escarneceu {name_target},{name_initiator} ha hecho que {name_target} parezca idiota,{name_initiator} robi durnia z {name_target},{name_initiator}愚弄了{name_target},{name_initiator}讓{name_target}當眾出糗,{name_initiator}は{name_target}をバカにした,{name_initiator}이(가) {name_target}을(를) 바보 취급했습니다.,{name_initiator} hat {name_target} bloßgestellt,{name_initiator} a fait passer {name_target} pour un âne,{name_initiator} ha fatto fare brutta figura a {name_target},"{name_target}, {name_initiator} tarafından aptal yerine kondu.",{name_initiator} bolonddá tette {name_target} nemest,{name_initiator} виставляє на посміховисько: {name_target},{name_initiator} đã làm {name_target} trông như một kẻ ngốc
actor.deep_social_alias.evil_joke_3,{name_initiator} teased {name_target},{name_initiator} дразнил {name_target},{name_initiator} teased {name_target},{name_initiator} teased {name_target},{name_initiator} si utahuje z osoby {name_target},{name_initiator} provocou {name_target},{name_initiator} ha provocado a {name_target},{name_initiator} drażni {name_target},{name_initiator}戏弄了{name_target},{name_initiator}調侃了{name_target},{name_initiator}は{name_target}をからかった,{name_initiator}이(가) {name_target}을(를) 놀렸습니다.,{name_initiator} hat {name_target} gereizt,{name_initiator} a provoqué {name_target},{name_initiator} ha provocato {name_target},"{name_initiator}, {name_target} ile alay etti.",{name_initiator} heccelte {name_target} nemest,{name_initiator} дражнить: {name_target},{name_initiator} đã trêu chọc {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} laughed at {name_target},{name_initiator} насмехался над {name_target},{name_initiator} ridiculed {name_target},{name_initiator} ridiculed {name_target},{name_initiator} zesměšňuje osobu {name_target},{name_initiator} ridicularizou {name_target},{name_initiator} ha ridiculizado a {name_target},{name_initiator} wyśmiewa {name_target},{name_initiator}嘲讽了{name_target},{name_initiator}揶揄了{name_target}一番,{name_initiator}は{name_target}をあざ笑った,{name_initiator}이(가) {name_target}을(를) 조롱했습니다.,{name_initiator} hat {name_target} verspottet,{name_initiator} a ridiculisé {name_target},{name_initiator} ha messo in ridicolo {name_target},"{name_initiator}, {name_target} ile dalga geçti.",{name_initiator} nevetségessé tette {name_target} nemest,{name_initiator} висміює: {name_target},{name_initiator} đã nhạo báng {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} parodied {name_target},{name_initiator} пародировал {name_target},{name_initiator} parodied {name_target},{name_initiator} parodied {name_target},{name_initiator} paroduje osobu {name_target},{name_initiator} parodiou {name_target},{name_initiator} ha parodiado a {name_target},{name_initiator} parodiuje {name_target},{name_initiator}滑稽地模仿了{name_target},{name_initiator}故意模仿{name_target}的蠢樣,{name_initiator}は{name_target}のものまねをした,{name_initiator}이(가) {name_target}을(를) 따라 했습니다.,{name_initiator} hat {name_target} nachgeäfft,{name_initiator} a parodié {name_target},{name_initiator} ha canzonato {name_target},"{name_initiator}, {name_target} taklidi yaptı.",{name_initiator} kifigurázta {name_target} nemest,{name_initiator} пародіює: {name_target},{name_initiator} đã bắt chước {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} was ironic about {name_target},{name_initiator} иронизировал над {name_target},{name_initiator} sarcastically mocked {name_target},{name_initiator} sarcastically mocked {name_target},{name_initiator} si jízlivě utahuje z osoby {name_target},{name_initiator} zombou sarcasticamente de {name_target},{name_initiator} ha hecho comentarios sarcásticos de {name_target},{name_initiator} z ironią wyraża się o {name_target},{name_initiator}讥笑了{name_target},{name_initiator}酸溜溜地挖苦{name_target},{name_initiator}は皮肉っぽく{name_target}をあざ笑った,{name_initiator}이(가) {name_target}을(를) 비꼬며 조롱했습니다.,{name_initiator} hat sich sarkastisch über {name_target} lustig gemacht,{name_initiator} a fait preuve de sarcasme envers {name_target},{name_initiator} ha deriso {name_target} in modo sarcastico,"{name_initiator}, {name_target} ile dalga geçti.",{name_initiator} kigúnyolta {name_target} nemest,{name_initiator} саркастично кепкує з: {name_target},{name_initiator} đã chế nhạo {name_target} một cách châm biếm
actor.deep_social_alias.flattery_1,{name_initiator} flattered {name_target},{name_initiator} польстил {name_target},{name_initiator} flattered {name_target},{name_initiator} flattered {name_target},{name_initiator} lichotí osobě {name_target},{name_initiator} bajulou {name_target},{name_initiator} ha adulado a {name_target},{name_initiator} schlebia {name_target},{name_initiator}奉承了{name_target},{name_initiator}出言討好{name_target},{name_initiator}は{name_target}にごまをすった,{name_initiator}이(가) {name_target}에게 아첨했습니다.,{name_initiator} hat {name_target} geschmeichelt,{name_initiator} a flatté {name_target},{name_target} ha adulato {name_initiator},"{name_target}, {name_initiator} tarafından pohpohlandı.",{name_initiator} bókolt {name_target} nemesnek,{name_initiator} лестить: {name_target},{name_initiator} đã nịnh hót {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} appeased {name_target},{name_initiator} задобрил {name_target},{name_initiator} buttered up {name_target},{name_initiator} buttered up {name_target},{name_initiator} podlézá osobě {name_target},{name_initiator} adulou {name_target},{name_initiator} le ha dorado la píldora a {name_target},{name_initiator} podlizuje się {name_target},{name_initiator}拍了{name_target}的马屁,{name_initiator}拍了{name_target}的馬屁,{name_initiator}は{name_target}のご機嫌を取った,{name_initiator}이(가) {name_target}에게 알랑거렸습니다.,{name_initiator} hat {name_target} Honig ums Maul geschmiert,{name_initiator} a fait de la lèche à {name_target},{name_initiator} ha lusingato {name_target},"{name_target}, {name_initiator} tarafından şımartıldı.",{name_initiator} hízelgett {name_target} nemesnek,{name_initiator} підлизується до: {name_target},{name_initiator} đã tâng bốc {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} buttered up {name_target},{name_initiator} подмазал {name_target},{name_initiator} ingratiated themself with {name_target},{name_initiator} ingratiated themself with {name_target},{name_initiator} se vlichocuje do přízně osoby {name_target},{name_initiator} caiu nas graças de {name_target},{name_initiator} se ha congraciado con {name_target},{name_initiator} przymila się do {name_target},{name_initiator}讨好{name_target},{name_initiator}努力巴結{name_target},{name_initiator}は{name_target}に取り入ろうとした,{name_initiator}이(가) {name_target}의 환심을 샀습니다.,{name_initiator} hat sich bei {name_target} beliebt gemacht,{name_initiator} s'est attiré les bonnes grâces de {name_target},{name_initiator} ha conquistato le grazie di {name_target},"{name_initiator}, {name_target} için artık daha değerli.",{name_initiator} a kegyébe férkőzött {name_target} nemesnek,{name_initiator} втирається в довіру до: {name_target},{name_initiator} đã làm quen với {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} groveled before {name_target},{name_initiator} расстелился перед {name_target},{name_initiator} groveled before {name_target},{name_initiator} groveled before {name_target},{name_initiator} se plazí před osobou {name_target},{name_initiator} se ajoelhou diante de {name_target},{name_initiator} se ha humillado ante {name_target},{name_initiator} płaszczy się przed {name_target},{name_initiator}在{name_target}面前卑躬屈膝,{name_initiator}曲意逢迎了{name_target},{name_initiator}は{name_target}にひれ伏した,{name_initiator}이(가) {name_target}에게 굽실거렸습니다.,{name_initiator} hat vor {name_target} gekatzbuckelt,{name_initiator} a rampé devant {name_target},{name_initiator} ha ossequiato {name_target},"{name_initiator}, {name_target} önünde yaltaklandı.",{name_initiator} megalázkodott {name_target} nemes előtt,{name_initiator} простирається перед: {name_target},{name_initiator} đã quỳ lạy trước {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} insincerely admired {name_target},{name_initiator} неискренне восхищался {name_target},{name_initiator} insincerely admired {name_target},{name_initiator} insincerely admired {name_target},{name_initiator} neupřímně obdivuje osobu {name_target},{name_initiator} fingiu admirar {name_target},{name_initiator} ha admirado de boquilla a {name_target},{name_initiator} nieszczerze podziwia {name_target},{name_initiator}言不由衷地赞美了{name_target},{name_initiator}假惺惺地奉承{name_target},{name_initiator}は{name_target}を心から敬服した,{name_initiator}이(가) 거짓으로 {name_target}을(를) 칭찬했습니다.,{name_initiator} hat gegenüber {name_target} Bewunderung vorgetäuscht,{name_initiator} a feint d'admirer {name_target},{name_initiator} ha ammirato {name_target} in modo poco sincero,"{name_target}, {name_initiator} tarafından takdir edildi.",{name_initiator} színlelten csodálta {name_target} nemest,{name_initiator} щиро захоплюється: {name_target},{name_initiator} đã khen ngợi {name_target} một cách không thành thật
actor.deep_social_alias.flattery_6,{name_initiator} exalted {name_target},{name_initiator} превозносил {name_target},{name_initiator} extolled {name_target},{name_initiator} extolled {name_target},{name_initiator} velebí osobu {name_target},{name_initiator} engrandeceu {name_target},{name_initiator} ha elogiado a {name_target},{name_initiator} wychwala {name_target},{name_initiator}赞美了{name_target},{name_initiator}出言奉承了{name_target},{name_initiator}は{name_target}を褒め立てた,{name_initiator}이(가) {name_target}을(를) 격찬했습니다.,{name_initiator} hat {name_target} gepriesen,{name_initiator} a exalté {name_target},{name_initiator} ha lodato {name_target},"{name_target}, {name_initiator} tarafından methedildi.",{name_initiator} dicsőítette {name_target} nemest,{name_initiator} звеличує: {name_target},{name_initiator} đã ca ngợi {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} massaged the ego of {name_target},{name_initiator} массировал эго {name_target},{name_initiator} massaged {name_target}'s ego,{name_initiator} massaged {name_target}'s ego,{name_initiator} masíruje ego osoby {name_target},{name_initiator} acariciou o ego de {name_target},{name_initiator} le ha hecho la pelota a {name_target},{name_initiator} sławi przymioty {name_target},{name_initiator}维护了{name_target}的自尊心,{name_initiator}吹捧得{name_target}飄飄然,{name_initiator}は{name_target}の自尊心をくすぐった,{name_initiator}이(가) {name_target}의 자존감을 높여주었습니다.,{name_initiator} hat {name_target} den Bauch gepinselt,{name_initiator} a amadoué {name_target},{name_initiator} ha compiaciuto l'ego di {name_target},"{name_target}, {name_initiator} tarafından egosu okşandı.",{name_initiator} masszírozta {name_target} nemes egóját,{name_initiator} тішить его: {name_target},{name_initiator} đã vuốt ve cái tôi của {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} exchanged witticisms with {name_target},{name_initiator} обменялся остротами с {name_target},{name_initiator} traded witticisms with {name_target},{name_initiator} traded witticisms with {name_target},{name_initiator} si vyměňuje bonmoty s osobou {name_target},{name_initiator} trocou gracejos com {name_target},{name_initiator} ha intercambiado pullas con {name_target},{name_initiator} prowadzi szermierkę słowną z {name_target},{name_initiator}与{name_target}在言辞上激烈地交锋,{name_initiator}幽了{name_target}一默,{name_initiator}は{name_target}と冗談を言い合った,{name_initiator}이(가) {name_target}와(과) 재담을 나누었습니다.,{name_initiator} hat mit {name_target} gescherzt,{name_initiator} a échangé quelques mots d'esprit avec {name_target},{name_initiator} ha avuto uno scambio arguto con {name_target},{name_initiator} ile {name_target} birbirine nükteli sözler söyledi.,{name_initiator} szellemeskedett {name_target} nemessel,{name_initiator} обмінюється жартами з: {name_target},{name_initiator} đã trao đổi những câu nói dí dỏm với {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} told a new joke to {name_target},{name_initiator} рассказал новую шутку {name_target},{name_initiator} told a new joke to {name_target},{name_initiator} told a new joke to {name_target},{name_initiator} vypráví nový vtip osobě {name_target},{name_initiator} contou uma piada nova para {name_target},{name_initiator} le ha contado un chiste nuevo a {name_target},{name_initiator} opowiada nowy dowcip {name_target},{name_initiator}对{name_target}讲了一个新笑话,{name_initiator}跟{name_target}講了一個新笑話,{name_initiator}は{name_target}に新しい冗談を言った,{name_initiator}이(가) {name_target}에게 새로운 농담을 했습니다.,{name_initiator} hat {name_target} einen neuen Witz erzählt,{name_initiator} a raconté une nouvelle blague à {name_target},{name_initiator} ha raccontato una barzelletta a {name_target},"{name_target}, {name_initiator} tarafından yapılan bir şakayı dinledi.",{name_initiator} egy új viccet mesélt {name_target} nemesnek,{name_initiator} розповідає новий жарт: {name_target},{name_initiator} đã kể một câu chuyện cười mới cho {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} had a good laugh with {name_target},{name_initiator} весело посмеялся с {name_target},{name_initiator} had a good laugh with {name_target},{name_initiator} had a good laugh with {name_target},{name_initiator} se dobře baví s osobou {name_target},{name_initiator} riu bastante com {name_target},{name_initiator} se ha reído de lo lindo con {name_target},{name_initiator} śmieje się wraz z {name_target},{name_initiator}与{name_target}一起开怀大笑,{name_initiator}和{name_target}一起捧腹大笑,{name_initiator}は{name_target}と大いに笑いあった,{name_initiator}이(가) {name_target}와(과) 크게 웃었습니다.,{name_initiator} hatte mit {name_target} jede Menge Spaß,{name_initiator} a bien rigolé avec {name_target},{name_initiator} ha riso di cuore con {name_target},"{name_initiator}, {name_target} ile güldü.",{name_initiator} jót nevetett {name_target} nemessel,{name_initiator} добре сміється разом з: {name_target},{name_initiator} đã cười đùa vui vẻ với {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} told an anecdote to {name_target},{name_initiator} рассказал анекдот {name_target},{name_initiator} shared an anecdote with {name_target},{name_initiator} shared an anecdote with {name_target},{name_initiator} vypráví anekdotu osobě {name_target},{name_initiator} compartilhou uma anedota com {name_target},{name_initiator} ha compartido una anécdota con {name_target},{name_initiator} raczy anegdotą {name_target},{name_initiator}与{name_target}分享了一则轶事,{name_initiator}向{name_target}分享了一件趣事,{name_initiator}は{name_target}に自らの経験談を話した,{name_initiator}이(가) {name_target}에게 이야기를 들려주었습니다.,{name_initiator} hat {name_target} eine Anekdote erzählt,{name_initiator} a partagé une anecdote avec {name_target},{name_initiator} ha condiviso un aneddoto con {name_target},"{name_initiator}, {name_target} ile bir anekdot paylaştı.",{name_initiator} elmondott egy anekdotát {name_target} nemesnek,{name_initiator} ділиться новим анекдотом із: {name_target},{name_initiator} đã chia sẻ một giai thoại với {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} showed a parody to {name_target},{name_initiator} показал пародию {name_target},{name_initiator} showed a parody to {name_target},{name_initiator} showed a parody to {name_target},{name_initiator} ukazuje parodii osobě {name_target},{name_initiator} mostrou uma paródia para {name_target},{name_initiator} le ha mostrado una parodia a {name_target},{name_initiator} parodią rozbawia {name_target},{name_initiator}向{name_target}展示了一个拙劣的仿作,{name_initiator}表演搞笑逗樂{name_target},{name_initiator}は{name_target}にものまねを見せた,{name_initiator}이(가) {name_target}에게 따라 하는 모습을 보여주었습니다.,{name_initiator} hat vor {name_target} jemanden imitiert,{name_initiator} a montré une parodie à {name_target},{name_initiator} ha messo in scena una parodia per {name_target},"{name_initiator}, {name_target} için bir taklit yaptı.",{name_initiator} kifigurázott valakit {name_target} nemesnek,{name_initiator} показує пародію: {name_target},{name_initiator} đã trình chiếu một màn parodi cho {name_target}
