Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
opinion_mind_interest.manners,,Манеры,Manners,Manners,Chování,Boas maneiras,Modales,Maniery,礼仪,氣質,マナー,예의,Manieren,Manières,Maniere,Terbiye,Modor,Манери,Tác phong
opinion_mind_interest.guest,,Гость,Guest,Guest,Host,Convidado,Invitado,Gość,宾客,賓客,ゲスト,손님,Gast,Hôte,Ospite,Misafir,Vendég,Гість,Khách
opinion_mind_interest.has_paramour,,Чувства к текущему партнеру,Feelings toward current partner,Feelings toward current partner,City k aktuálnímu partnerovi,Sentimentos em relação ao parceiro atual,Sentimientos hacia la pareja actual,Uczucia do obecnego partnera,对现任伴侣的感情,對伴侶的愛戀,現在のパートナーに対する感情,현재 파트너에 대한 감정,Gefühle für aktuellen Partner,Sentiments envers partenaire,Sentimenti verso il partner attuale,Mevcut partnerine olan hisleri,Érzések a jelenlegi partner iránt,Почуття до поточного партнера,Tình cảm với người yêu hiện tại
opinion_mind_rumor_prefix,,Слух: {rumor},Rumor: {rumor},Rumor: {rumor},Drb: {rumor},Rumor: {rumor},Rumor: {rumor},Plotka: {rumor},传闻：{rumor},傳言：{rumor},噂：{rumor},소문: {rumor},Gerücht: {rumor},Rumeur : {rumor},Indiscrezione: {rumor},Dedikodu: {rumor},Pletyka: {rumor},Чутки: {rumor},Tin Đồn: {rumor}
opinion_mind.abuse,,Он меня оскорбил,He insulted me,He insulted me,Urazil mě,Insultou-me,Me ha insultado,Osoba mnie obraziła,他侮辱了我,辱罵了我,彼は私を侮辱した,나를 모욕한 사람,Er hat mich beleidigt,A proféré des insultes contre moi,Mi ha insultato,Bana hakaret etti,Megsértett,Ображає мене,Anh Ta Đã Xúc Phạm Tôi
opinion_mind.abuse_paramour,,Оскорбил партнера,Insulted partner,Insulted partner,Uražený partner,Parceiro insultado,Pareja insultada,Obrażono partnera,侮辱了伴侣,辱罵了伴侶,パートナーを侮辱した,파트너를 모욕함,Partner beleidigt,A insulté son ou sa partenaire,Ha insultato il partner,Hakaret edilen partner,Sértett partner,Ображений партнер,Đối tác bị xúc phạm
opinion_mind.adultery,,Не знает о моей измене,Unaware of my infidelity,Unaware of my infidelity,Neví o mé nevěře,Sem conhecimento da minha infidelidade,No ha advertido mi infidelidad,Nie wie o mojej niewierności,对我的不忠不知情,不知道我出軌了,私の不倫に気付いていない,내 외도 사실을 모름,Weiß nichts von meiner Untreue,N'est pas au courant de mon infidélité,Ignora la mia infedeltà,Aldattığımı bilmiyor,Nem tud a hűtlenségemről,Не знає про мою зраду,"Không biết về chuyện tôi ngoại tình "
opinion_mind.blinded_relative,,Ослепил близкого,Blinded a loved one,Blinded a loved one,Oslepení milované osoby,Cegou uma pessoa amada,Ser querido ciego,Oślepienie bliskiej osoby,使一位亲人失明,弄瞎了我的至親,愛する人の視界を奪った,사랑하는 이의 눈을 멀게 함,Hat eine geliebte Person geblendet,Aveuglé·e par l'amour,Accecamento di una persona cara,Sevdiği birini kör etti,Megvakíttatta egy szerettemet,Осліплення близької людини,Làm mù mắt những người thân yêu của tôi
opinion_mind.bribe_me,,Подкупил меня,Bribed me,Bribed me,Podplatili mě,Subornou-me,Me ha sobornado,Przekupstwo,贿赂了我,賄賂了我,私に賄賂を送った,나에게 뇌물을 줌,Hat mich bestochen,M'a soudoy݇é·e,Mi ha corrotto,Bana rüşvet verdi,Megvesztegetett,Підкупає мене,Hối lộ tôi
opinion_mind.chitchat,,Болтовня,Small talk,Small talk,Drb,Conversa casual,Cotilleo,Plotka,八卦,八卦,噂話,험담,Tratsch,Commérages,Chiacchiere,Dedikodu,Pletykás,Плітки,Nói chuyện phiếm
opinion_mind.close_relative,,Близкий родственник,Close relative,Close relative,Blízký příbuzný,Parente próximo,Familiar cercano,Bliskie pokrewieństwo,近亲,親人,近親者,가까운 친척,Enge Verwandtschaft,Parent proche,Parente prossimo,Yakın akraba,Közeli rokon,Близький родич,Người thân cận
opinion_mind.convicted_of_adultery,,Измена партнера,Partner's betrayal,Partner's betrayal,Partnerova zrada,Traição do parceiro,Traición de la pareja,Zdrada partnera,伴侣的背叛,伴侶不忠,パートナーの裏切り,파트너의 배신,Ehebruch des Partners,Trahison du ou de la partenaire,Tradimento del partner,Partnerin ihaneti,Hűtlen partner,Подружня зрада,Sự phản bội của đối tác
opinion_mind.coward,,Трус,Coward,Coward,Zbabělec,Covarde,Cobardía,Tchórzostwo,懦夫,懦夫,臆病者,겁쟁이,Feigling,Lâche,Codardia,Korkak,Gyáva,Боягузтво,Hèn Nhát
opinion_mind.criminal,,Замешан в преступлениях,Involved in crimes,Involved in crimes,Zapojení do zločinů,Envolvimento em crimes,Se ha involucrado en crímenes,Udział w przestępstwach,涉嫌犯罪,涉嫌犯罪,犯罪に関係した,범죄에 관여,In Verbrechen verwickelt,A été complice de crimes,Coinvolgimento nella criminalità,Suça karıştı,Bűncselekménybe keveredett,Участь у злочинах,Có liên quan đến tội ác
opinion_mind.deep_talk,,Был глубокий разговор,Had a deep conversation,Had a deep conversation,Má za sebou hluboký rozhovor,Teve uma conversa aprofundada,Ha tenido una conversación profunda,Odbyto głęboką rozmowę,进行深入交流,彼此深談,有意義な会話をした,깊은 대화를 나눴음,Hatte ein tiefgründiges Gespräch,A eu une conversation sérieuse,Ha avuto una conversazione profonda,Anlamlı bir sohbet gerçekleştirdi,Tartalmas beszélgetése volt,Була щира розмова,Đã Có Một Cuộc Trò Chuyện Sâu Sắc
opinion_mind.drunk_fight,,Пьяная драка,Drunken fight,Drunken fight,Opilecká rvačka,Briga de bêbados,Pelea de borrachos,Bójka po pijaku,酒后斗殴,酒後鬥毆,酔っ払いの喧嘩,취중 싸움,Betrunkener Streit,Bagarre alcoolisée,Rissa tra ubriachi,Sarhoş kavgası,Részeg verekedés,П'яна бійка,Đánh Nhau Trong Cơn Say
opinion_mind.beat_me,,Побил меня,Beat me,Beat me,Zmlátili mě,Bateu-me,Me ha pegado,Pobicie,打了我,對我動粗,私を倒してみろ,나를 때림,Hat mich geschlagen,M'a frappé·e,Mi ha picchiato,Beni dövdü,Megvert,Б'є мене,Đánh Đập Tôi
opinion_mind.envy_happy,,Слишком счастливый!,Too happy!,Too happy!,Velká spokojenost!,Extremamente feliz!,¡Demasiado feliz!,Zbytnie szczęście!,太开心了！,太得意了！,幸せすぎる！,너무 행복해!,Zu glücklich!,Nage dans le bonheur !,Troppa felicità!,Çok mutlu!,Túl elégedett!,Завелике щастя!,Quá Hạnh Phúc!
opinion_mind.envy_runes,,Зависть к количеству колец,Envious of Rings,Envious of Rings,Závist kvůli prstenům,Inveja dos Anéis,Envidia de anillos,Zazdrości pierścieni,嫉妒别人的圣戒,嫉妒聖戒多,リングが羨ましい,신성 반지 질투,Neid auf Ringe,Envie d'anneaux sacrés,Invidia degli anelli,Yüzükleri kıskanıyor,Irigyli a Gyűrűket,Заздрість через персні,Ghen tị với những chiếc nhẫn
opinion_mind.envy_for_babys,,Зависть к количеству детей,Envy of progeny,Envy of progeny,Závist kvůli potomkům,Inveja da descendência,Envidia de progenie,Zazdrości potomstwa,嫉妒别人的子嗣,嫉妒有兒女,子孫への嫉妬,자손 질투,Neid auf Nachwuchs,Envie d'une progéniture,Invidia della prole,Ailenin ferdini kıskanıyor,Irigyli az utódokat,Заздрість через дитину,Ghen tị với con cái
opinion_mind.envy_for_victory,,Зависть к победам,Envy of victories,Envy of victories,Závist kvůli vítězstvím,Inveja das vitórias,Envidia de victorias,Zazdrości zwycięstw,嫉妒别人的胜利,嫉妒勝利,勝利への嫉妬,승리 질투,Neid auf Siege,Envie de victoires,Invidia delle vittorie,Zaferleri kıskanıyor,Irigyli a győzelmeket,Заздрість через перемоги,Ghen tị với chiến thắng
opinion_mind.evil_joke,,Он издевался надо мной!,Mocked me!,Mocked me!,Zesměšnili mě!,Zombou de mim!,¡Se ha burlado de mí!,Szydzono ze mnie!,嘲笑了我！,嘲笑了我,私をあざ笑った！,나를 조롱했어!,Hat sich über mich lustig gemacht!,S'est moqué·e de moi,Mi ha schernito!,Benimle dalga geçti!,Kicsúfolt!,Кепкує з мене!,Chế nhạo tôi!
opinion_mind.ex_paramour,,Бывший партнер,Former partner,Former partner,Bývalý partner,Ex-parceiro,Antigua pareja,Dawny partner,前任伴侣,舊愛,元パートナー,이전 파트너,Ehemaliger Partner,Ancien amour,Ex partner,Eski partner,Volt partner,Колишній партнер,Người yêu cũ
opinion_mind.executed_relative,,Казнил близкого,Executed a loved one,Executed a loved one,Poprava milované osoby,Executou um ente querido,Han ejecutado a un ser querido,Stracono ukochaną osobę,处决了一位亲人,處死了我的至親,愛する人を処刑した,사랑하는 이를 처형함,Hat eine geliebte Person hingerichtet,A exécuté un être cher,Esecuzione di una persona cara,Sevdiği birini idam etti,Kivégeztette egy szerettemet,Страта близької людини,Xử án một người thân yêu
opinion_mind.punished_me,,Наказал меня!,Punished me!,Punished me!,Potrestali mě!,Puniu-me!,¡Me ha castigado!,Ukaranie,惩罚了我！,處罰了我,私を処罰した！,나를 처벌했어!,Hat mich bestraft!,M'a puni·e !,Mi ha castigato!,Beni cezalandırdı!,Megbüntetett!,Карає мене!,Trừng phạt tôi!
opinion_mind.flattery,,Польстил мне,Flattered me,Flattered me,Lichotili mi,Lisonjeou-me,Me ha adulado,Pochlebstwo,奉承了我,出言討好我,私にごまをすった,나에게 아첨했음,Hat mir geschmeichelt,M'a fait des compliments,Mi ha adulato,Beni pohpohladı,Bókolt nekem,Улеслює мене,Tâng bốc tôi
opinion_mind.flirt,,Предстоит свидание,Upcoming date,Upcoming date,Chystané rande,Encontro próximo,Cita cercana,Niedługo ma schadzkę,即将到来的约会,約會快到了,デートが予定されている,다가오는 데이트,Bevorstehendes Rendezvous,Rendez-vous galant imminent,Incontro romantico imminente,Gelecek randevu,Közelgő randevú,Заплановане побачення,Cuộc hẹn sắp tới
opinion_mind.game_of_dice_loose,,Выиграл у меня в кости!,Won against me in dice!,Won against me in dice!,Porazili mě v kostkách!,Venceu de mim nos dados!,¡Me ha ganado a los dados!,Wygrana ze mną w kości!,在骰子游戏中赢了我！,賭骰子贏我！,さいころ賭博で私に勝った！,주사위 게임에서 나를 이겼어!,Hat mich im Würfelspiel besiegt!,A gagné contre moi aux dés !,Mi ha sconfitto a dadi!,Zarda bana karşı kazandı!,Kockán elnyerte a pénzem!,Виграє проти мене в кості!,Thắng tôi trong trò chơi xúc xắc!
opinion_mind.gift,,Подарил подарок,Gave me a gift,Gave me a gift,Dali mi dárek,Deu-me um presente,Me ha dado un regalo,Dano mi prezent,送了我一份礼物,送我禮物,私に贈り物をくれた,나에게 선물함,Gab mir ein Geschenk,M'a offert un présent,Mi ha dato un dono,Bana hediye verdi,Ajándékot kaptam tőle,Дає мені подарунок,Tặng quà cho tôi
opinion_mind.good_commander,,Успешный командир,Successful commander,Successful commander,Úspěšný velitel,Comandante de sucesso,Comandante con éxito,Skuteczny dowódca,成功的指挥官,傑出指揮官,成功を収めた指揮官,성공적인 지휘관,Erfolgreicher Kommandant,Commandant heureux,Comandante di successo,Başarılı kumandan,Sikeres parancsnok,Успішний командир,Chỉ huy hiệu quả
opinion_mind.good_joke,,Здорово посмеялись вместе!,Had a great laugh together!,Had a great laugh together!,Dobrá společná zábava!,Rimos bastante juntos!,¡Nos hemos reído mucho juntos!,Razem się z czegoś uśmialiśmy,一起开怀大笑！,一起捧腹大笑,共に大いに笑った！,함께 한껏 웃었어!,Hatten gemeinsam viel Spaß!,Ont bien rigolé ensemble !,Hanno riso insieme!,Beraber iyi eğlendik!,Hatalmasat nevettünk együtt!,Добре посміялися разом!,Có những trận cười vui vẻ cùng nhau!
opinion_mind.king_gift,,Королевский подарок,Gave me a royal gift,Gave me a royal gift,Dali mi královský dárek,Deu-me um presente real,Me ha dado un regalo regio,Dano mi królewski prezent,送了我一份贵族礼物,賞賜了我,私に王室からの贈り物をくれた,나에게 하사품을 내림,Gab mir ein königliches Geschenk,M'a offert un présent royal,Mi ha dato un dono regale,Bana asil bir hediye verdi,Királyi ajándékot kaptam tőle,Дає мені королівський подарунок,Tặng quà hoàng gia cho tôi
opinion_mind.heir_envy,,Желание трона,Desire for the throne,Desire for the throne,Touha po trůnu,Desejo pelo trono,Deseo por el trono,Pragnienie tronu,渴望王位,渴望王位,王位への欲望,왕좌에 대한 욕망,Sehnsucht nach dem Thron,Convoite le trône,Desiderio del trono,Taht arzusu,Trón utáni vágy,Бажання трону,Khao khát ngai vàng
opinion_mind.hunt_together,,Охотились вместе,Hunted together,Hunted together,Společný lov,Caçamos juntos,Cacería conjunta,Wspólne polowanie,一起狩猎,一起打獵,一緒に狩りをした,같이 사냥함,Gingen gemeinsam auf die Jagd,Partie de chasse à deux,Hanno cacciato insieme,Beraber avlandılar,Együtt vadásztak,Разом полювали,Săn bắn cùng nhau
opinion_mind.intrigue,,Грязные слухи,Dirty rumors,Dirty rumors,Ošklivé drby,Rumores sujos,Rumores sucios,Brudne plotki,肮脏的谣言,醜聞,淫らな噂,더러운 소문,Brisante Gerüchte,Rumeurs obscènes,Indiscrezioni scabrose,Çirkin dedikodular,Mocskos pletykák,Брудні чутки,Tin đồn bẩn thỉu
opinion_mind.sorry,,Попросил прощения,Apologized,Apologized,Omluva,Desculpou-se,Ha pedido perdón,Przeprosiny,已道歉,道了歉,謝罪した,사과함,Hat sich entschuldigt,A présenté ses excuses,Scuse,Özür diledi,Elnézést kért,Просить пробачення,Đã xin lỗi
opinion_mind.jealousy,,Соперник!,Rival!,Rival!,Rival!,Rival!,¡Rival!,Rywal!,势均力敌！,死對頭！,ライバル！,경쟁자!,Rivale!,Adversaire !,Rivalità,Rakip!,Vetélytárs!,Суперництво!,Đối thủ!
opinion_mind.love,,Я без ума от него!,I'm crazy about him!,I'm crazy about him!,Jsem do něj blázen!,Estou louca por ele!,¡Pierdo la cabeza por él!,Kocham tę osobę!,我对他疯狂着迷！,我滿腦子都是他！,彼にぞっこんなの！,그에게 완전 빠졌어!,Ich bin verrückt nach ihm!,Je ne pense qu'à cette personne !,Mi fa battere il cuore!,Onun için ölüyorum!,Megőrülök érte!,Безтямне кохання!,Tôi mê mẩn anh ấy!
opinion_mind.negative_rumor_1,,Ест по ночам,Eats at night,Eats at night,Jí v noci,Come à noite,Come de noche,Nocą się obżera,在夜里吃东西,半夜吃東西,夜に食事する,야식을 먹음,Isst nachts,Mange la nuit,Mangia di notte,Gece yiyor,Éjszaka zabál,Їсть по ночах,Ăn đêm
opinion_mind.negative_rumor_10,,Собирается уйти навсегда,Planning to leave forever,Planning to leave forever,Plánujeme spolu odejít,Planejando ir embora para sempre,Planeando irse para siempre,Chce odejść na zawsze,计划永远离开,打算遠走高飛,永遠に去ることを考えている,영원히 떠날 계획 중,Will für immer fortgehen,Compte partir et ne pas revenir,Vuole andarsene per sempre,Buralardan çekip gitmeyi planlıyor,Örökre el akar menni,Планує назавжди піти,Lên kế hoạch rời đi mãi mãi
opinion_mind.negative_rumor_11,,Болен венерической болезнь,Suffering from a venereal disease,Suffering from a venereal disease,Trpí kvůli pohlavní chorobě,Sofrendo com uma doença venérea,Sufriendo una enfermedad venérea,Cierpi na chorobę weneryczną,患有性病,有性病,性病を患っている,성병에 시달리는 중,Leidet an einer Geschlechtskrankheit,Souffre d'une maladie vénérienne,Soffre di una malattia venerea,Zührevi hastalık taşıyor,Nemibeteg,Венерична хвороба,Bị bệnh lây qua đường tình dục
opinion_mind.negative_rumor_12,,Мочится в постель,Wets the bed,Wets the bed,Pomočuje se,Molha a cama,Moja la cama,Moczy się przez sen,尿床,會尿床,おねしょしてしまう,침대에 오줌을 쌈,Bettnässer,Mouille son lit,Bagna il letto,Yatağa işiyor,Ágyba vizel,Мочиться в ліжко,Đái dầm
opinion_mind.negative_rumor_13,,Копит мусор,Hoards trash,Hoards trash,Hromadí odpadky,Acumula lixo,Acumula basura,Zbiera śmieci,囤积垃圾,愛囤垃圾,ごみを溜め込む,쓰레기를 모음,Hortet Unrat,Accumule des déchets,Accumula spazzatura,Çöp toplamayı seviyor,Szemetet gyűjtöget,Накопичує сміття,Thu gom rác
opinion_mind.negative_rumor_14,,Тайный атеист,Secret atheist,Secret atheist,Tajný ateista,Ateísmo secreto,Ateísmo en secreto,Skrywany ateizm,神秘的无神论者,假信徒,隠れ無神論者,비밀 무신론자,Insgeheim atheistisch,Cache son athéisme,Ateismo in segreto,Gizli ateist,Titkos ateista,Прихований атеїзм,Người vô thần bí mật
opinion_mind.negative_rumor_15,,Спит на коврике у двери,Sleeps on a mat by the door,Sleeps on a mat by the door,Spí na rohožce u dveří,Dorme em um colchonete perto da porta,Duerme en un colchón junto a la puerta,Sypia na wycieraczce pod drzwiami,睡在门边的垫子上,喜歡睡在門墊上,ドアのそばのマットで寝る,문 옆의 깔개에서 잠,Schläft auf einer Matte neben der Tür,Dort sur un tapis près de la porte,Dorme su un materasso accanto alla porta,Kapı paspasında yatıyor,Az ajtó melletti szőnyegen alszik,Спить на килимку біля дверей,Ngủ trên tấm chiếu gần cửa
opinion_mind.negative_rumor_16,,Тайный пироман,Secret pyromaniac,Secret pyromaniac,Tajný pyroman,Piromania secreta,Piromanía secreta,Skrywana piromania,神秘的纵火狂,有縱火癖,隠れ放火魔,비밀 방화광,Geheime pyromanische Veranlagung,Secrètement pyromane,Piromania in segreto,Gizli kundakçı,Titkos piromániás,Прихована піроманія,Kẻ đốt phá bí ẩn
opinion_mind.negative_rumor_17,,Редко моется,Rarely bathes,Rarely bathes,Málo se koupe,Quase nunca toma banho,Casi no se baña,Rzadko się kąpie,很少洗澡,不愛洗澡,ほとんど風呂に入らない,거의 목욕을 안 함,Badet nur selten,Se lave rarement,Si lava raramente,Nadiren yıkanıyor,Ritkán fürdik,Рідко миється,Hiếm khi tắm
opinion_mind.negative_rumor_18,,Всегда доедает объедки,Always finishes leftovers,Always finishes leftovers,Pořád nechává zbytky,Sempre come as sobras,Siempre se termina las sobras,Zawsze dojada resztki,总是会把剩菜吃干净,愛吃廚餘,いつも残り物を平らげる,항상 남은 음식을 다 먹음,Vertilgt alle Essensreste,Finit toujours les restes,Finisce sempre gli avanzi,Arta kalan yemekleri hep yiyor,Mindig megeszi a maradékot,Завжди доїдає недоїдки,Luôn ăn hết đồ thừa
opinion_mind.negative_rumor_19,,Гуляет голым по ночам,Walks naked at night,Walks naked at night,V noci chodí bez šatů,Anda sem roupas à noite,Camina sin ropa de noche,Nocą spaceruje nago,夜间裸奔,半夜會裸奔,夜中に裸で歩く,밤에 나체로 걸어 다님,Läuft nachts nackt herum,Se promène sans vêtements la nuit,Passeggia senza indumenti di notte,Gece çıplak geziyor,Éjszaka meztelenül sétál,Ночами вештається голяка,Đi lang thang khỏa thân vào ban đêm
opinion_mind.negative_rumor_2,,Ковыряет в носу,Picks nose,Picks nose,Dloube se v nose,Cutuca o nariz,Se hurga la nariz,Dłubie w nosie,挖鼻孔,愛挖鼻孔,鼻をほじる,코를 팜,Bohrt in der Nase,Se cure le nez,Si scaccola,Burnunu karıştırıyor,Túrja az orrát,Длубається в носі,Thích ngoáy mũi
opinion_mind.negative_rumor_20,,Одержим злым духом,Possessed by an evil spirit,Possessed by an evil spirit,Posedlost zlým duchem,Possessão por um espírito maligno,Sufre la posesión de un espíritu maligno,Opętanie przez ducha,被恶灵附身,被惡靈附身,悪霊に憑りつかれた,악령에게 사로잡힘,Von einem bösen Geist besessen,Possédé·e par un esprit maléfique,Possessione di uno spirito maligno,Kötü bir ruh ona musallat olmuş,Gonosz szellem szállta meg,Одержимість злим духом,Bị ác quỷ ám
opinion_mind.negative_rumor_21,,Поклоняется пню,Worships a stump,Worships a stump,Uctívá pařez,Venera um toco de árvore,Adora un tocón,Wielbi pień,崇拜树桩,會膜拜樹樁,切り株を崇拝する,그루터기를 숭배함,Verehrt einen Baumstumpf,Vénère une souche,Adora un ceppo,Bir kütüğe tapıyor,Egy farönköt imád,Поклоняється пеньку,Thờ cúng một gốc cây
opinion_mind.negative_rumor_22,,Не может заниматься сексом,Unable to engage in sex,Unable to engage in sex,Neumí souložit,Incapaz de fazer sexo,Incapaz de tener sexo,Nie może uprawiać seksu,无法进行性行为,性無能,性交渉ができない,성행위를 할 수 없음,Kann keinen Sex haben,Incapable de forniquer,Non può fare sesso,Sevişemiyor,Képtelen szexelni,Не може займатися сексом,Không thể quan hệ tình dục
opinion_mind.negative_rumor_23,,Чешет подмышки,Scratches armpits,Scratches armpits,Škrábe se v podpaží,Coça as axilas,Se rasca las axilas,Drapie się pod pachami,挠腋下,愛抓腋下,脇の下を掻く,겨드랑이를 긁음,Kratzt sich unter den Achseln,Se gratte les aisselles,Si gratta le ascelle,Koltuk altını kaşıyor,Vakarja a hónalját,Чухає під пахвами,Gãi nách
opinion_mind.negative_rumor_24,,Ест насекомых,Eats insects,Eats insects,Žere hmyz,Come insetos,Come insectos,Jada owady,吃昆虫,會吃昆蟲,昆虫を食べる,벌레를 먹음,Isst Insekten,Mange des insectes,Mangia insetti,Böcek yiyor,Bogarakat eszik,Поїдає комах,Ăn côn trùng
opinion_mind.negative_rumor_25,,Кричит по ночам,Screams at night,Screams at night,Křičí v noci,Grita à noite,Grita de noche,Krzyczy w nocy,在夜里尖叫,半夜會尖叫,夜中に叫ぶ,밤에 비명을 지름,Schreit nachts,Crie la nuit,Grida di notte,Gece çığlık atıyor,Éjszaka sikoltozik,Кричить по ночах,Hét lên vào ban đêm
opinion_mind.negative_rumor_3,,Заглядывается на слугу,Peeks at the servant,Peeks at the servant,Pokukuje po služebné,Espia os servos,Espía al servicio,Podgląda służbę,偷窥仆人,喜歡偷窺僕人,使用人を覗く,시종을 훔쳐봄,Beäugt lüstern die Dienerschaft,Se rince l'œil sur les domestiques,Sbircia i servitori,Hizmetçiye bakıyor,Lesi a szolgáját,Підглядає за слугами,Nhìn lén người hầu
opinion_mind.negative_rumor_4,,Пускает газы,Passes gas,Passes gas,Prdí,Solta gases,Tiene gases,Puszcza bąki,放屁,喜歡放屁,おならをする,방귀를 뀜,Furzt häufig,Lâche des pets,Emette flatulenze,Gaz çıkarıyor,Szellent,Випускає гази,Đánh rắm
,,,Cross-dresses,Cross-dresses,Převléká se za opačné pohlaví,Transformista,Se traviste,Lubi ubierać się jak płeć przeciwna,穿异性服装,有異裝癖,女装する,복장 도착,Frönt der Travestie,Se travestit,Si traveste,Karşı cinsin kıyafetlerini giyiyor,A másik nem ruháiba öltözik,Носить одяг протилежної статі,Ăn mặc theo giới tính khác
opinion_mind.negative_rumor_6,,Много пьет,Drinks a lot,Drinks a lot,Hodně pije,Bebe muito,Bebe demasiado,Dużo pije,酗酒,經常酗酒,大酒飲み,과음함,Säuft,Boit beaucoup,Beve molto,Çok içiyor,Sokat iszik,Багато пиячить,Uống nhiều
opinion_mind.negative_rumor_7,,Злословит за спиной,Badmouths behind people's back,Badmouths behind people's back,Pomlouvá lidi za zády,Fala mal pelas costas,Habla mal de la gente a sus espaldas,Obgaduje ludzi,在背后说坏话,愛說人壞話,人の悪口を言う,사람들 뒤에서 험담함,Zerreißt sich das Maul über andere Leute,Casse du sucre sur le dos des autres,Critica gli altri,İnsanların arkasından konuşuyor,Rosszakat mond másokról a hátuk mögött,Лихословить позаочі,Nói xấu sau lưng
opinion_mind.negative_rumor_8,,Ворует посуду,Steals utensils,Steals utensils,Krade příbory,Rouba utensílios,Roba cubiertos,Kradnie sztućce,偷餐具,會偷餐具,食器類を盗む,식기를 훔침,Stiehlt Essbesteck,Vole des ustensiles,Ruba gli attrezzi,Tabak çanak çalıyor,Evőeszközöket lop,Краде кухонні предмети,Ăn cắp dụng cụ
opinion_mind.negative_rumor_9,,Выпадают волосы,Going bald,Going bald,Plešatí,Perdendo os cabelos,Está perdiendo pelo,Łysieje,变秃了,開始禿頭,はげる,탈모 진행 중,Bekommt eine Glatze,Devient chauve,Perde i capelli,Kelleşiyor,Kopaszodik,Лисіє,Hói
