Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
activity_state.free_lord.go_to,,Ожидает найма,Waiting to be hired,Waiting to be hired,Čeká na najmutí,Esperando contratação,Esperando un contrato,Czeka na zatrudnienie,等待被雇佣,等待受聘中,雇われるのを待つ,고용 대기 중,"Wartet darauf, angeheuert zu werden",Attend un poste,Attende l'assunzione,İşe alınmayı bekliyor,"Vár, hogy felfogadják",Очікує найму,Chờ được thuê
activity_state.slave.suicide,,Убивает себя,Сommitting suicide,Сommitting suicide,Páchá sebevraždu,Cometendo suicídio,Cometiendo suicidio,Popełnia samobójstwo,自杀,正企圖自殺,自殺する,자살 시도 중,Begeht Selbstmord,Se suicide,Commette un suicidio,İntihar ediyor,Öngyilkosságot követ el,Вчиняє самогубство,Tự tử
activity_state.church.go_to,,Идет в храм,Goes to the temple,Goes to the temple,Jde do chrámu,Indo ao templo,Va al templo,Idzie do świątyni,前往圣堂,前往教堂中,礼拝堂に行く,사원에 감,Unterwegs zum Tempel,Se rend au temple,Va al tempio,Tapınak'a gidiyor,A templomba megy,Збирається до храму,Đi đến đền thờ
activity_state.church.morning_service.process,,Утренняя служба,Morning service,Morning service,Ranní bohoslužba,Missa matutina,Servicio matinal,Poranna msza,晨祷,晨禱,朝の礼拝,아침 예배,Morgengottesdienst,Messe matinale,Funzione mattutina,Sabah ayini,Reggeli mise,Ранкова служба,Dịch vụ buổi sáng
activity_state.church.morning_service.waiting,,Ждет начало службы,Waiting for morning service,Waiting for morning service,Čeká na ranní bohoslužbu,Esperando pela missa matutina,Esperando al servicio matinal,Czeka na poranną mszę,等待晨祷,等待晨禱中,朝の礼拝を待つ,아침 예배 대기 중,Wartet auf den Morgengottesdienst,Attend la messe matinale,Attende la funzione mattutina,Sabah ayinini bekliyor,Reggeli misére vár,Чекає на ранкову службу,Chờ dịch vụ buổi sáng
activity_state.church.pray,,Молится,Praying,Praying,Modlí se,Rezando,Rezando,Modli się,祈祷,禱告中,祈る,기도 중,Betet,Prie,Prega,Dua ediyor,Imádkozik,Молиться,Cầu nguyện
activity_state.conversation.go_to,,Идет говорить с {name},Goes to talk to {name},Goes to talk to {name},Jde si promluvit s osobou {name},Indo falar com {name},Va a hablar con {name},Idzie porozmawiać z {name},去与{name}交谈,正要去找{name}交談,{name}と話しに行く,{name}에게 대화하러 감,"Unterwegs, um mit {name} zu reden",Va parler à {name},Va a parlare con {name},{name} ile konuşmaya gidiyor,Megy beszélni {name} nemessel,Збирається говорити з: {name},Đi trò chuyện với {name}
activity_state.criminal.burglary.go_to,,Идет взламывать дом,Goes to break into a house,Goes to break into a house,Jde se vloupat do domu,Indo invadir uma casa,Va a irrumpir en una casa,Idzie włamać się do domu,闯入一栋房子,正要闖入住宅,家に押し入ろうとする,집에 침입하러 감,Unterwegs zu einem Hauseinbruch,Va cambrioler une maison,Va a fare irruzione in una casa,Evine zorla girmeye gidiyor,Megy betörni egy házba,Збирається грабувати будинок,Đi đột nhập vào một ngôi nhà
activity_state.criminal.burglary.lockpicking,,Взламывает замок,Breaking the lock,Breaking the lock,Páčí zámek,Quebrando a tranca,Rompiendo la cerradura,Otwiera zamek,撬锁,撬鎖中,錠前を壊している,자물쇠 부수는 중,Knackt das Schloss,Brise le verrou,Scassina la serratura,Kilidi kırıyor,Leveri a lakatot,Зламує замок,Phá khóa
activity_state.criminal.burglary.process,,Занимается грабежом,Robs a house,Robs a house,Vykrádá dům,Roubando uma casa,Roba en una casa,Okrada dom,抢劫一处住宅,入室盜竊中,家を強奪する,집 약탈,Raubt ein Haus aus,Cambriole une maison,Rapina una casa,Bir evi soyuyor,Kirabol egy házat,Грабує будинок,Cướp một ngôi nhà
activity_state.criminal.burglary.waiting,,Ждет подельника,Waiting for an accomplice,Waiting for an accomplice,Čeká na komplice,Esperando comparsas,Esperando a un cómplice,Czeka na wspólnika,等待同伙,等待同夥中,共犯者を待つ,공범을 기다리는 중,Wartet auf einen Komplizen,Attend son complice,Attende un complice,Suç ortağını bekliyor,Egy cinkostársára vár,Чекає на спільника,Chờ đồng phạm
activity_state.criminal.night_murder,,Идет убивать врага,Goes to kill an enemy,Goes to kill an enemy,Jde zabít nepřítele,Indo matar um inimigo,Va a matar a un enemigo,Idzie zabić wroga,去杀死敌人,前往殺害敵人,敵を殺しに行く,적을 죽이러 감,"Unterwegs, um einen Feind zu töten",Va tuer un ennemi,Va a uccidere un nemico,Düşmanı öldürmeye gidiyor,Megy egy ellenségét megölni,Збирається вбивати ворога,Đi giết kẻ thù
activity_state.criminal.robbery,,Ищет жертву для грабежа,Looking for a victim to rob,Looking for a victim to rob,Hledá oběť krádeže,Procurando por uma vítima para assaltar,Buscando a una víctima a la que robar,Szuka ofiary rozboju,寻找抢劫的目标,找尋搶劫目標中,強盗を働く相手を探している,강도 대상 찾는 중,Sucht nach einem Raubopfer,Cherche la cible de son cambriolage,Cerca una vittima da rapinare,Soyacak kurban arıyor,"Keres valakit, akit kirabolhat","Шукає, кого пограбувати",Tìm nạn nhân để cướp
activity_state.criminal.storage_robbery.go_to,,Идет грабить склад,Goes to rob a warehouse,Goes to rob a warehouse,Jde vykrást skladiště,Indo roubar um depósito,Va a robar en un almacén,Idzie okraść skład,去抢劫仓库,正要去盜竊倉庫物資,倉庫に強盗に入る,창고를 털러 감,"Unterwegs, um ein Lagerhaus auszurauben",Va cambrioler un dépôt,Va a saccheggiare un magazzino,Ardiye'yi soymaya gidiyor,Megy kirabolni egy raktárat,Збирається грабувати склад,Đi cướp kho
activity_state.criminal.storage_robbery.process,,Грабит склад,Robbing the warehouse,Robbing the warehouse,Vykrádá skladiště,Roubando o depósito,Robando en un almacén,Okrada skład,抢劫仓库,盜竊倉庫物資中,倉庫で強盗を働いている,창고를 터는 중,Raubt das Lagerhaus aus,Cambriole le dépôt,Saccheggia un magazzino,Ardiye'yi soyuyor,Kirabolja a raktárat,Грабує склад,Cướp kho
activity_state.dead,,Мертвый,Dead,Dead,Mrtví,Mortos,Muerto,Nie żyje,死亡,死亡,死亡,사망,Tot,Mort,Morte,Ölü,Halott,Загибель,Chết
activity_state.deep_social.go_to,,Идет общаться,Goes to socialize,Goes to socialize,Jde se družit,Indo socializar,Va a socializar,Idzie rozmawiać,去社交,正要與人社交,交流しに行く,친목하러 감,Mischt sich unters Volk,Va socialiser,Va a socializzare,Sosyalleşmeye gidiyor,Társaságba megy,Збирається спілкуватися,Đi giao lưu
activity_state.deep_social.process,,Общается,Socializing,Socializing,Druží se,Socializando,Socializando,Rozmawia,社交,社交中,交流している,친목 중,In Gesellschaft,Socialise,Socializza,Sosyalleşiyor,Társaságban van,Спілкується,Giao lưu
activity_state.deep_social.waiting,,Ждет собеседника,Waiting for someone to talk to,Waiting for someone to talk to,"Čeká na někoho, s kým si promluví",Esperando alguém para conversar,Esperando a alguien con quien hablar,"Czeka na kogoś, by porozmawiać",等待与人交谈,正在等人來交談,話し相手を待っている,대화할 사람을 기다리는 중,Wartet auf jemanden zum Reden,Cherche quelqu'un à qui parler,Attende qualcuno con cui parlare,Konuşacak birini bekliyor,"Vár, hogy valakivel beszélhessen",Чекає на співрозмовників,Chờ ai đó để trò chuyện
activity_state.dice_of_fate.go_to,,Идет гадать на костях,Goes to divine with bones,Goes to divine with bones,Jde věštit z kostí,Indo profetizar com ossos,Va a hacer adivinación con huesos,Idzie wróżyć z kości,去用骨头占卜,正要去用甲骨占卜運勢,骨占術をしに行く,뼈점을 치러 감,Unterwegs zum Knochenorakel,Va pratiquer la scapulomancie,Va a divinare con le ossa,Kemikler ile kehanette bulunmaya gidiyor,Megy csontokból jósolni,Збирається гадати на кістках,Đi dự đoán bằng xương
activity_state.dice_of_fate.process,,Гадает на костях,Divining with bones,Divining with bones,Věští z kostí,Profetizando com ossos,Haciendo adivinación con huesos,Wróży z kości,用骨头占卜,用甲骨占卜運勢中,骨占術をしている,뼈점을 치는 중,Beim Knochenorakel,Pratique la scapulomancie,Divina con le ossa,Kemikler ile kehanette bulunuyor,Csontokból jósol,Гадає на кістках,Dự đoán bằng xương
activity_state.dreaming.go_to,,Идет мечтать,Goes to daydream,Goes to daydream,Jde se zasnít,Indo devanear,Va a soñar despierto,Idzie fantazjować,去做白日梦,正要去做白日夢,空想にふける,몽상하러 감,Unterwegs zum Tagträumen,Va rêvasser,Va a sognare a occhi aperti,Hayal kurmaya gidiyor,Álmodozni fog,Збирається помріяти,Đi mơ mộng
activity_state.dreaming.process,,Мечтает,Daydreaming,Daydreaming,Má bdělé sny,Devaneando,Soñando despierto,Fantazjuje,做白日梦,做白日夢中,空想している,몽상 중,Widmet sich Tagträumen,Rêvasse,Sogna a occhi aperti,Hayal kuruyor,Álmodozik,Мріє,Mơ mộng
activity_state.drinking.go_to,,Идет пить алкоголь,Goes to drink beer,Goes to drink beer,Jde na pivo,Indo beber cerveja,Va a beber cerveza,Idzie napić się piwa,去喝啤酒,正要去喝酒,ビールを飲みに行く,맥주를 마시러 감,Geht Bier trinken,Va boire de la bière,Va a bere birra,Bira içmeye gidiyor,Megy sört inni,Збирається пити пиво,Đi uống bia
activity_state.drinking.process,,Пьет алкоголь,Drinking beer,Drinking beer,Pije pivo,Bebendo cerveja,Bebiendo cerveza,Pije piwo,喝啤酒,喝酒中,ビールを飲んでいる,맥주 마시는 중,Trinkt Bier,Boit de la bière,Beve birra,Bira içiyor,Sört iszik,П'є пиво,Uống bia
activity_state.drinking_nectar.go_to,,Идет пить нектар,Goes to drink nectar,Goes to drink nectar,Jde se napít nektaru,Indo beber néctar,Va a beber néctar,Idzie napić się nektaru,去喝蜜酿,正要去喝蜜露,ネクタルを飲みに行く,넥타를 마시러 감,Geht Nektar trinken,Va boire du nectar,Va a bere il nettare,Nektar içmeye gidiyor,Megy nektárt inni,Збирається пити нектар,đi uống mật hoa
activity_state.drinking_nectar.process,,Пьет нектар,Drinking nectar,Drinking nectar,Pije nektar,Bebendo néctar,Bebiendo néctar,Pije nektar,喝蜜酿,喝蜜露中,ネクタルを飲んでいる,넥타 마시는 중,Trinkt Nektar,Boit du nectar,Beve il nettare,Nektar içiyor,Nektárt iszik,П'є нектар,Uống mật hoa
activity_state.eating.go_to,,Идет есть,Goes to eat,Goes to eat,Jde se najíst,Indo comer,Va a comer,Idzie zjeść,去吃饭,正要去用餐,食事をしに行く,먹으러 감,Geht essen,Va manger,Va a mangiare,Yemek yemeye gidiyor,Megy enni,Збирається їсти,Đi ăn
activity_state.eating.process,,Ест,Eating,Eating,Jí,Comendo,Comiendo,Je,吃饭,用餐中,食事をしている,먹는 중,Isst,Mange,Mangia,Yemek yiyor,Eszik,Їсть,Ăn
activity_state.fight_trainer.go_to,,Идет управлять тренировкой,Goes to supervise training,Goes to supervise training,Jde dohlédnout na výcvik,Indo supervisionar um treino,Va a supervisar el entrenamiento,Idzie nadzorować szkolenie,去监督训练,正要去練兵,訓練を監督しに行く,훈련을 감독하러 감,Unterwegs zur Ausbildung,Va superviser l'entraînement,Va a sovrintendere l'addestramento,Eğitimi denetlemeye gidiyor,Megy felügyelni a kiképzést,Збирається порядкувати вишколом,Đi giám sát đào tạo
activity_state.fight_trainer.process,,Управляет тренировкой,Supervising training,Supervising training,Dohlíží na výcvik,Supervisionando um treino,Supervisando el entrenamiento,Nadzoruje szkolenie,监督训练,練兵中,訓練を監督している,훈련 감독 중,Begutachtet die Ausbildung,Supervise l'entraînement,Sovrintende l'addestramento,Eğitimi denetliyor,Felügyeli a kiképzést,Порядкує вишколом,Giám sát đào tạo
activity_state.fight_training.go_to,,Идет тренироваться,Goes to train,Goes to train,Jde cvičit,Indo treinar,Va a entrenar,Idzie trenować,去训练,正要去接受訓練,訓練に行く,훈련하러 감,Unterwegs zur Ausbildung,Va s'entraîner,Va ad addestrarsi,Eğitime gidiyor,Megy gyakorlatozni,Збирається на вишкіл,Đi đào tạo
activity_state.fight_training.waiting,,Ждет спарринг партнера,Waiting for a sparring partner,Waiting for a sparring partner,Čeká na partnera,Esperando por parceiros de duelo,Esperando a un compañero de entrenamiento,Czeka na sparingpartnera,等待对练伙伴,等待陪練夥伴中,スパーリングパートナーを待っている,연습 상대 기다리는 중,Wartet auf einen Sparringpartner,Attend son partenaire d'entraînement,Attende qualcuno con cui addestrarsi,İdman arkadaşını bekliyor,Vívópartnerre vár,Чекає на партнера для тренування,Chờ đối thủ tập luyện
activity_state.finish_off_enemy,,Добивает противника,Finishing off the enemy,Finishing off the enemy,Doráží nepřítele,Acabando com o inimigo,Rematando al enemigo,Wykańcza wroga,消灭敌人,正在消滅敵人,敵にとどめを刺す,적을 끝장내는 중,Erledigt den Feind,Achève l'ennemi,Dà il colpo di grazia al nemico,Düşmanın işini bitiriyor,Kivégzi az ellenséget,Добиває ворога,Kết liễu kẻ thù
activity_state.firefight.go_to,,Бежит тушить пожар,Runs to extinguish a fire,Runs to extinguish a fire,Běží uhasit oheň,Correndo para apagar o fogo,Corre para extinguir un fuego,Biegnie gasić pożar,赶去灭火,趕去滅火中,消火しに急ぐ,불을 끄러 달려감,Unterwegs zur Brandbekämpfung,Se dépêche pour éteindre un feu,Corre a spegnere un incendio,Yangını söndürmeye koşuyor,Rohan tüzet oltani,Біжить гасити пожежу,Chạy để dập tắt lửa
activity_state.firefight.process,,Тушит пожар,Extinguishing the fire,Extinguishing the fire,Hasí oheň,Apagando o fogo,Extinguiendo un fuego,Gasi pożar,灭火,滅火中,消火している,불 끄는 중,Löscht das Feuer,Éteint un feu,Spegne l'incendio,Yangını söndürüyor,Tüzet olt,Гасить пожежу,Dập tắt lửa
activity_state.game_of_dice.go_to,,Идет играть в кости,Goes to play dice,Goes to play dice,Jde si zahrát kostky,Indo jogar dados,Va a jugar a los dados,Idzie grać w kości,去玩骰子,正要去賭骰子,さいころ賭博をしに行く,주사위 게임을 하러 감,Unterwegs zum Würfelspiel,Va jouer aux dés,Va a giocare a dadi,Zar atmaya gidiyor,Megy kockázni,Збирається грати в кості,Đi chơi xúc xắc
activity_state.game_of_dice.process,,Играет в кости,Playing dice,Playing dice,Hraje kostky,Jogando dados,Jugando a los dados,Gra w kości,玩骰子,賭骰子中,さいころ賭博中,주사위 게임 중,Beim Würfelspiel,Joue aux dés,Gioca a dadi,Zar atıyor,Kockázik,Грає в кості,Chơi xúc xắc
activity_state.game_of_dice.waiting,,Ждет оппонента,Waiting for an opponent,Waiting for an opponent,Čeká na soupeře,Esperando adversários,Esperando a un oponente,Czeka na gracza,等待对手,等待對手中,相手を待っている,상대 기다리는 중,Wartet auf einen Gegner,Attend son adversaire,Attende un avversario,Rakibini bekliyor,Ellenfélre vár,Чекає на суперника,Chờ đối thủ
activity_state.home_pray.go_to,,Идет молиться домой,Goes to pray at home,Goes to pray at home,Jde se domů modlit,Indo rezar em casa,Va a rezar en casa,Idzie modlić się w domu,在家里祈祷,正要回家禱告,家で祈りを捧げに行く,집에 기도하러 감,Geht zum Beten nach Hause,Va prier à la maison,Va a pregare a casa,Evde dua etmeye gidiyor,Megy otthon imádkozni,Збирається молитися вдома,Đi cầu nguyện tại nhà
activity_state.inspector.go_to,,Идет на инспекцию,Goes for an inspection,Goes for an inspection,Jde na inspekci,Indo a uma inspeção,Va a una inspección,Idzie na inspekcję,去视察,正要前往視察,検査に出向く,점검하러 감,Unterwegs zu einer Inspektion,Va donner des instructions,Va a effettuare un'ispezione,Teftişe gidiyor,Ellenőrizni megy,Іде на інспекцію,Đi kiểm tra
activity_state.inspector.process,,Проводит инспекцию,Conducting an inspection,Conducting an inspection,Provádí inspekci,Conduzindo uma inspeção,Llevando a cabo una inspección,Przeprowadza inspekcję,进行视察,視察中,検査を行っている,점검 중,Führt eine Inspektion durch,Donne des instructions,Effettua un'ispezione,Teftiş yapıyor,Ellenőrzést végez,Проводить інспекцію,Tiến hành kiểm tra
activity_state.leaving_to_forest.go_to,,Уходит из поселения,Leaving the settlement,Leaving the settlement,Odchází z osady,Deixando a cidade,Abandonando el asentamiento,Opuszcza osadę,离开聚落,離開領地中,集落を立ち去っている,정착지를 떠나는 중,Verlässt die Siedlung,Quitte la cité,Lascia l'insediamento,Yerleşkeden ayrılıyor,Elhagyja a települést,Відбуває з поселення,Rời khỏi khu định cư
activity_state.music.listen.go_to,,Идет слушать музыку,Goes to listen to music,Goes to listen to music,Jde poslouchat hudbu,Indo escutar música,Va a escuchar música,Idzie słuchać muzyki,去听音乐,正要去聽音樂,音楽を聞きに行く,음악 감상하러 감,Geht Musik hören,Va écouter de la musique,Va ad ascoltare la musica,Müzik dinlemeye gidiyor,Megy zenét hallgatni,Збирається слухати музику,Đi nghe nhạc
activity_state.music.listen.process,,Слушает музыку,Listening to music,Listening to music,Poslouchá hudbu,Escutando música,Escuchando música,Słucha muzyki,听音乐,聽音樂中,音楽を聞いている,음악 감상 중,Hört Musik,Écoute de la musique,Ascolta la musica,Müzik dinliyor,Zenét hallgat,Слухає музику,Nghe nhạc
activity_state.music.play.go_to,,Идет играть музыку,Goes to play music,Goes to play music,Jde hrát hudbu,Indo tocar música,Va a tocar música,Idzie grać muzykę,去演奏音乐,正要去演奏音樂,音楽を演奏しに行く,음악 연주하러 감,Geht Musik machen,Va jouer de la musique,Va a suonare uno strumento,Müzik çalmaya gidiyor,Megy zenélni,Збирається грати музику,Đi chơi nhạc
activity_state.music.play.process,,Играет музыку,Playing music,Playing music,Hraje hudbu,Tocando música,Tocando música,Gra muzykę,演奏音乐,演奏音樂中,音楽を演奏している,음악 연주 중,Macht Musik,Joue de la musique,Suona uno strumento,Müzik çalıyor,Zenél,Грає музику,Chơi nhạc
activity_state.nothing,,Ничего не делает,Doing nothing,Doing nothing,Nedělá nic,Fazendo nada,No hace nada,Nic nie robi,无所事事,發呆中,何もしない,아무것도 안 하는 중,Tut nichts,Ne fait rien,Ozia,Hiçbir şey yapmıyor,Nem csinál semmit,Нічого не робить,Không làm gì cả
activity_state.order.attack,,Атакует {name},Attacking {name},Attacking {name},Útočí na osobu {name},Atacando {name},Atacando a {name},Atakuje: {name},攻击{name},攻擊{name},{name}を攻撃する,{name} 공격 중,Greift {name} an,Attaque {name},Attacca {name},{name} adlı kişiye saldırıyor,Támad {name} ellen,Нападає на: {name},Tấn công {name}
activity_state.order.building_burning.go_to,,Идет поджигать {building},Goes to set {building} on fire,Goes to set {building} on fire,Jde zapálit budovu {building},Indo atear fogo ({building}),Va a incendiar: {building},Idzie podpalić: {building},去放火烧{building},正要去縱火燒{building},{building}を放火しに行く,{building}에 방화하러 감,Will {building} anzünden,Va incendier : {building},Va a incendiare un edificio: {building},{building} binasını ateşe vermeye gidiyor,Megy felgyújtani a(z) {building} épületet,Збирається підпалювати: {building},Đi đốt {building}
activity_state.order.building_burning.process,,Поджигает {building},Setting {building} on fire,Setting {building} on fire,Zapaluje budovu {building},Ateando fogo ({building}),Incendiando: {building},Podpala: {building},放火烧{building},正在縱火燒{building},{building}に火をつける,{building}에 방화 중,Zündet {building} an,Incendie : {building},Incendia un edificio: {building},{building} binasını ateşe veriyor,Felgyújtja a(z) {building} épületet,Підпалює: {building},Đốt cháy {building}
activity_state.order.building_robbery.go_to,,Идет грабить {building},Goes to loot {building},Goes to loot {building},Jde vykrást budovu {building},Indo saquear ({building}),Va a saquear: {building},Idzie okraść: {building},去掠夺{building},正要去洗劫{building},{building}を略奪しに行く,{building}을(를) 약탈하러 감,Will {building} plündern,Va piller : {building},Va a saccheggiare un edificio: {building},{building} binasını yağmalamaya gidiyor,Megy kifosztani a(z) {building} épületet,Збирається грабувати: {building},Đi cướp {building}
activity_state.order.building_robbery.process,,Грабит {building},Loots {building},Loots {building},Vykrádá budovu {building},Saqueando ({building}),Saqueando: {building},Okrada: {building},掠夺{building},正在洗劫{building},{building}を略奪する,{building} 약탈 중,Plündert {building},Pille : {building},Saccheggia un edificio: {building},{building} binasını yağmalıyor,Kifosztja a(z) {building} épületet,Грабує: {building},Cướp {building}
activity_state.order.follow,,Преследует {name},Pursuing {name},Pursuing {name},Pronásleduje osobu {name},Perseguindo {name},Persiguiendo a {name},Ściga: {name},追捕{name},正在追{name},{name}を追う,{name} 쫓는 중,Verfolgt {name},Poursuit {name},Insegue {name},{name} adlı karakteri takip ediyor,Üldözőben {name} nyomában,Іде за: {name},Đuổi theo {name}
activity_state.order.moving,,Выдвигается,Advancing,Advancing,Postupuje,Avançando,Avanzando,Idzie,前进,前進中,進む,나아가는 중,Rückt vor,Avance,Avanza,İlerliyor,Előrenyomul,Просувається,Tiến lên
activity_state.order.travel_prepare.go_to,,Выдвигается за провизией,Advancing for provisions,Advancing for provisions,Postupuje pro zásoby,Avançando por provisões,Avanzando a por provisiones,Idzie po zapasy,前进以获取补给,前往拿取物資中,食料の前払い,공급을 위해 나아가는 중,"Rückt vor, um Vorräte zu sichern",Avance en quête de provisions,Avanza per prendere provvedimenti,Erzak bulmaya gidiyor,Előrenyomul ellátmányért,Іде по припаси,Tiến lên để lấy đồ dự trữ
