Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
trait.deadly_fight,,Попытка убийства,Attempted murder,Attempted murder,Pokus o vraždu,Tentativa de assassinato,Intento de asesinato,Próba morderstwa,谋杀未遂,謀殺未遂,殺人未遂,살인 미수,Versuchter Mord,Homicide lors d'une bagarre,Tentato omicidio,Cinayet girişimi,Gyilkossági kísérlet,Спроба вбивства,Âm mưu giết người
trait.deep_wound,,Глубокая рана,Deep wound,Deep wound,Hluboké zranění,Ferida profunda,Herida profunda,Głęboka rana,深部伤口,深度創傷,深い傷,깊은 상처,Tiefe Wunde,Blessure profonde,Ferita profonda,Derin yara,Mély seb,Глибока рана,Vết thương sâu
trait.doubting,,Агностик,Agnostic,Agnostic,Agnostik,Agnosticismo,Agnóstico,Agnostycyzm,不可知论者,懷疑論者,無神論者,불가지론자,Agnostiker,Agnostique,Agnosticismo,Agnostik,Agnosztikus,Агностик,Bất tín
trait.dummy_bastard,,Бастард от крестьянина,Bastard born of a peasant,Bastard born of a peasant,Nemanželské dítě rolníka,Criança bastarda de camponeses,Bastardo de origen campesino,Bękart chłopa,平民的私生子,庶民的私生子,農民の子として生まれた非嫡出子,농민의 사생아,Bastard eines Bauern,Enfant illégitime,Prole illegittima di un popolano,Köylüden doğma piç,Paraszttól született fattyú,Байстрюк від простолюдина,Con hoang của nông dân
trait.lord_bastard,,Бастард от лорда,Bastard of a lord,Bastard of a lord,Nemanželské dítě lorda,Criança bastarda de nobres,Bastardo de un señor,Bękart lorda,领主的私生子,貴族的私生子,領主の非嫡出子,영주의 사생아,Bastard eines Lords,Enfant illégitime,Prole illegittima di un nobile,Asilzadeden doğma piç,Egy nemes fattya,Байстрюк від вельможі,Con hoang của lãnh chúa
trait.encephalitistrait,,Энцефалит,Encephalitis,Encephalitis,Encefalitida,Encefalite,Encefalitis,Zapalenie mózgu,脑炎,腦炎,脳炎,뇌염,Gehirnentzündung,Encéphalite,Encefalite,Beyin iltihabı,Agyvelőgyulladás,Енцефаліт,Viêm não
trait.exhalation,,Истощение,Exhausted,Exhausted,Vyčerpání,Exaustão,Agotamiento,Wyczerpanie,筋疲力竭,飢腸轆轆,疲労困憊,탈진,Ausgelaugt,Sous-alimentation,Sfinimento,Yorgun,Kimerült,Виснаження,Kiệt sức
trait.fatigue,,Изнеможение,Fatigued,Fatigued,Únava,Fatiga,Fatiga,Zmęczenie,疲惫,筋疲力盡,疲労,피로,Erschöpft,Épuisement,Fatica,Tükenmiş,Fáradt,Втома,Mệt mỏi
trait.fear_of_punishment,,Страх наказания,Fear of punishment,Fear of punishment,Strach z trestu,Medo de punição,Miedo al castigo,Strach przed karą,对处刑的恐惧,害怕受罰,処罰への恐怖,처벌에 대한 공포,Angst vor Bestrafung,Peur du châtiment,Paura di una punizione,Ceza korkusu,Félelem a büntetéstől,Страх покарання,Sợ bị trừng phạt
trait.fight_with_king,,Драка с королем,Fight with the king,Fight with the king,Boj s králem,Briga com o rei,Pelea con el monarca,Walka za króla,与君王的斗争,和君王互毆,王との戦い,왕과 싸움,Streit mit dem König,Bagarre avec le monarque,Litigio con il monarca,Hükümdar ile kavga,Harc a királlyal,Бій із монархом,Đánh nhau với nhà vua
trait.heavy_bleeding,,Сильное кровотечение,Severe bleeding,Severe bleeding,Vážné krvácení,Sangramento grave,Hemorragia grave,Poważne krwawienie,严重出血,嚴重出血,重度の出血,심한 출혈,Schwere Blutung,Hémorragie sévère,Emorragia grave,Şiddetli kanama,Súlyos vérzés,Сильна кровотеча,Chảy máu nặng
trait.homeless,,Бездомный,Homeless,Homeless,Bezdomovectví,Desabrigo,Sin hogar,Bezdomność,无家可归,無家可歸,路上生活,노숙자,Obdachlos,Sans-abri,Vagabondaggio,Evsiz,Hajléktalan,Бездомність,Vô gia cư
trait.immobilization,,Обездвиженность,Immobilized,Immobilized,Nehybnost,Imobilização,Inmovilidad,Unieruchomienie,瘫痪,動彈不得,動けない,거동 불가,Gelähmt,Immobilisation,Immobilità,Hareketsiz,Mozgásképtelen,Нерухомість,Bị tê liệt
trait.injury_arm,,Травма руки,Hand injury,Hand injury,Zranění hlavy,Lesão na mão,Lesión en la mano,Rana dłoni,手部受伤,手部受傷,手の怪我,손 부상,Handverletzung,Fracture du bras,Ferita alla mano,Elde incinme,Kézsérülés,Поранення руки,Chấn thương tay
trait.injury_face,,Травма лица,Facial injury,Facial injury,Zranění obličeje,Lesão no rosto,Lesión facial,Rana twarzy,面部受伤,臉部受傷,顔の怪我,얼굴 부상,Gesichtsverletzung,Blessure au visage,Ferita al viso,Yüzde incinme,Arcsérülés,Поранення обличчя,Chấn thương mặt
trait.injury_leg,,Травма ноги,Leg injury,Leg injury,Zranění nohy,Lesão na perna,Lesión en la pierna,Rana nogi,腿部受伤,腿部受傷,足の怪我,다리 부상,Beinverletzung,Fracture de la jambe,Ferita alla gamba,Bacakta incinme,Lábsérülés,Поранення ноги,Chấn thương chân
trait.injury_rib,,Травма ребер,Rib injury,Rib injury,Zranění žebra,Lesão na costela,Lesión en las costillas,Rana żebra,肋骨受伤,肋骨受傷,肋骨の骨折,갈비뼈 부상,Rippenverletzung,Fracture d'une côte,Ferita al costato,Kaburgada incinme,Bordasérülés,Поранення ребра,Chấn thương xương sườn
trait.inspection_friendly,,Получил инструкции,Received instructions,Received instructions,Obdržené pokyny,Instruções recebidas,Ha recibido instrucciones,Otrzymano polecenia,收到指令,接獲指令,指示を受けた,지시받음,Erhielt Anweisungen,Instructions reçues,Ricezione degli ordini,Talimat aldı,Utasításokat kapott,Отримано вказівки,Nhận chỉ thị
trait.internal_bleeding,,Внутреннее кровотечение,Internal bleeding,Internal bleeding,Vnitřní krvácení,Sangramento interno,Hemorragia interna,Krwawienie wewnętrzne,内出血,內出血,内出血,내출혈,Innere Blutungen,Hémorragie interne,Emorragia interna,İç kanama,Belső vérzés,Внутрішня кровотеча,Chảy máu nội tạng
trait.kid,,Ребенок,Child,Child,Dítě,Criança,Infante,Dziecko,孩子,孩童,子供,아이,Kind,Enfant,Infante,Çocuk,Gyermek,Дитина,Trẻ em
trait.leprosy,,Проказа,Leprosy,Leprosy,Malomocenství,Lepra,Lepra,Trąd,麻风病,痲瘋病,ハンセン病,나병,Lepra,Lèpre,Lebbra,Cüzzam,Lepra,Проказа,Bệnh phong
trait.loss_of_eye,,Потеря глаза,Loss of an eye,Loss of an eye,Ztráta oka,Perda de um olho,Pérdida de un ojo,Utrata oka,失去一只眼睛,單眼失明,目を失った,눈 잃음,Verlust eines Auges,Perte d'un œil,Perdita di un occhio,Gözünü kaybetti,Félszemű,Втрата ока,Mất mắt
trait.loss_of_hand,,Потеря руки,Loss of a hand,Loss of a hand,Ztráta ruky,Perda de uma mão,Pérdida de una mano,Utrata dłoni,失去一只手,單臂截肢,手を失った,손 잃음,Verlust einer Hand,Main coupée,Perdita di una mano,Elini kaybetti,Félkezű,Втрата руки,Mất tay
trait.love,,Влюбленность,Infatuated,Infatuated,Zalíbení,Paixão,Enamoramiento,Zauroczenie,痴迷,意亂情迷,恋の盲目,홀딱 반함,Liebestrunken,Amourette,Infatuazione,Sırılsıklam âşık,Szerelmes,Кохання,Yêu thích
trait.medium_bleeding,,Среднее кровотечение,Moderate bleeding,Moderate bleeding,Středně vážné krvácení,Sangramento moderado,Hemorragia moderada,Umiarkowane krwawienie,中度出血,中度出血,並の出血,보통 출혈,Mäßige Blutung,Hémorragie modérée,Emorragia moderata,Orta derece kanama,Közepes vérzés,Кровотеча середньої тяжкості,Chảy máu vừa
trait.mortal_wound,,Смертельная рана,Fatal wound,Fatal wound,Smrtelné zranění,Ferida fatal,Herida letal,Śmiertelna rana,致命伤口,致命傷,致命的な傷,치명상,Tödliche Wunde,Blessure mortelle,Ferita mortale,Ölümcül yara,Halálos seb,Смертельна рана,Vết thương chí mạng
trait.murder,,Убийство,Murder,Murder,Vražda,Assassinato,Asesinato,Morderstwo,谋杀,謀殺,殺人,살인,Mord,Meurtre,Omicidio,Cinayet,Gyilkosság,Вбивство,Giết người
trait.murder_of_aristocrat,,Убийство лорда,Murder of a lord,Murder of a lord,Vražda lorda,Assassinato de um nobre,Asesinato de un señor,Morderstwo lorda,谋杀领主,謀殺貴族,領主の殺害,영주 살인,Mord an einem Lord,Meurtre de noble,Omicidio di un nobile,Asilzade cinayeti,Egy nemes meggyilkolása,Вбивство вельможі,Giết một lãnh chúa
trait.nectar_addiction,,Нектарная зависимость,Nectar addiction,Nectar addiction,Závislost na nektaru,Vício em néctar,Adicción al néctar,Uzależnienie od nektaru,蜜酿成瘾,蜜露成癮,ネクタル依存症,넥타 중독,Nektarsucht,Addiction au nectar,Dipendenza dal nettare,Nektar bağımlılığı,Nektárfüggőség,Нектарна залежність,Nghiện mật hoa
trait.nectar_hangover,,Похмелье от нектара,Nectar hangover,Nectar hangover,Kocovina z nektaru,Ressaca de néctar,Resaca de néctar,Kac od nektaru,蜜酿宿醉,蜜露宿醉,ネクタルで二日酔い,넥타 숙취,Nach Nektargenuss verkatert,Redescente de nectar,Sbornia da nettare,Nektar yüzünden akşamdan kalma,Nektár okozta másnaposság,Нектарне похмілля,Cơn đau đầu sau khi uống mật hoa
trait.night_murder,,Убийство ночью,Nighttime murder,Nighttime murder,Noční vražda,Assassinato à noite,Asesinato nocturno,Morderstwo nocą,夜间谋杀,夜間謀殺,夜間の殺人,야간 살인,Nächtlicher Mord,Meurtre de nuit,Omicidio notturno,Akşam cinayeti,Éjszakai gyilkosság,Нічне вбивство,Giết người vào ban đêm
trait.night_murder_attempt,,Попытка убийства ночью,Attempted murder at night,Attempted murder at night,Pokus o vraždu v noci,Tentativa de assassinato à noite,Intento de asesinato por la noche,Próba morderstwa nocą,夜间谋杀未遂,夜間謀殺未遂,夜間の殺人未遂,야간 살인 미수,Versuchter nächtlicher Mord,Tentative de meurtre de nuit,Tentato omicidio durante la notte,Akşam cinayet girişiminde bulunuldu,Gyilkossági kísérlet éjjel,Спроба вбивства вночі,Âm mưu giết người vào ban đêm
trait.oldman,,Старик,Elderly,Elderly,Stáří,Idade avançada,Edad avanzada,Starość,老年人,長者,高齢者,노인,Alt,Personne âgée,Anzianità,Yaşlı,Idős,Літній вік,Người cao tuổi
trait.painful_shock,,Болевой шок,Pain shock,Pain shock,Šok z bolesti,Choque pela dor,Conmoción por dolor,Szok bólowy,疼痛休克,疼痛休克,痛みのショック,통증 쇼크,Schockschmerz,État de choc,Shock da dolore,Ağrı şoku,Fájdalom okozta sokk,Больовий шок,Sốc đau đớn
trait.philosopher,,Философ,Philosopher,Philosopher,Filosof,Mente fiilosófica,Filosofía,Filozof,哲学家,哲學家,哲学者,철학자,Philosoph,Philosophie,Filosofia,Filozof,Filozófus,Філософ,Nhà triết học
trait.poison_attempt,,Попытка отравления,Attempted poisoning,Attempted poisoning,Pokus o otravu,Tentativa de envenenamento,Intento de envenenamiento,Próba otrucia,投毒未遂,下毒未遂,毒殺を試みた,독살 시도 중,Versuchte Vergiftung,Tentative d'empoisonnement,Tentato avvelenamento,Zehirleme girişimi,Mérgezési kísérlet,Спроба отруєння,Âm mưu đầu độc
trait.poison_begin_stage,,Начальная стадия отравления,Early stage of poisoning,Early stage of poisoning,Raná fáze otravy,Estágio inicial de envenenamento,Fase temprana de envenenamiento,Wczesny etap zatrucia,中毒早期,中毒初期,中毒の初期段階,독살 초기 단계,Frühstadium einer Vergiftung,Empoisonnement (1e stade),Fase iniziale dell'avvelenamento,İlk evre zehirlenme,A mérgezés korai stádiuma,Рання стадія отруєння,Giai đoạn đầu của đầu độc
trait.poison_middle_stage,,Средняя стадия отравления,Intermediate stage of poisoning,Intermediate stage of poisoning,Pokročilá fáze otravy,Estágio intermediário de envenenamento,Fase intermedia de envenenamiento,Przejściowy etap zatrucia,中毒中期,中毒中期,中毒の中間段階,독살 중간 단계,Fortgeschrittene Vergiftung,Empoisonnement (2e stade),Fase intermedia dell'avvelenamento,İleri evre zehirlenme,A mérgezés köztes stádiuma,Середня стадія отруєння,Giai đoạn giữa của đầu độc
trait.poison_last_stage,,Последняя стадия отравления,Final stage of poisoning,Final stage of poisoning,Poslední fáze otravy,Estágio final de envenenamento,Fase final de envenenamiento,Końcowy etap zatrucia,中毒晚期,中毒末期,中毒の最終段階,독살 최종 단계,Endstadium einer Vergiftung,Empoisonnement (convalescence),Fase finale dell'avvelenamento,Son evre zehirlenme,A mérgezés végső stádiuma,Остання стадія отруєння,Giai đoạn cuối của đầu độc
trait.pregnant,,Беременная (Фаза 1/3),Pregnant (Stage 1/3),Pregnant (Stage 1/3),Těhotenství (fáze 1/3),Grávida (Estágio 1/3),Embarazo (fase 1/3),Ciąża (etap 1/3),怀孕（第一阶段）,懷孕初期,妊娠 (ステージ 1/3),임신(1/3기),Schwanger (Trimester 1/3),Grossesse (1/3),Gravidanza (fase 1/3),Hamile (1/3 dönemi),Terhes (1./3 stádium),Вагітна (1/3 триместр),Có thai (Giai đoạn 1/3)
trait.pregnant_medium,,Беременная (Фаза 2/3),Pregnant (Stage 2/3),Pregnant (Stage 2/3),Těhotenství (fáze 2/3),Grávida (Estágio 2/3),Embarazo (fase 2/3),Ciąża (etap 2/3),怀孕（第二阶段）,懷孕中期,妊娠 (ステージ 2/3),임신(2/3기),Schwanger (Trimester 2/3),Grossesse (2/3),Gravidanza (fase 2/3),Hamile (2/3 dönemi),Terhes (2./3 stádium),Вагітна (2/3 триместр),Có thai (Giai đoạn 2/3)
trait.pregnant_heavy,,Беременная (Фаза 3/3),Pregnant (Stage 3/3),Pregnant (Stage 3/3),Těhotenství (fáze 3/3),Grávida (Estágio 3/3),Embarazo (fase 3/3),Ciąża (etap 3/3),怀孕（第三阶段）,懷孕晚期,妊娠 (ステージ 3/3),임신(3/3기),Schwanger (Trimester 3/3),Grossesse (3/3),Gravidanza (fase 3/3),Hamile (3/3 dönemi),Terhes (3./3 stádium),Вагітна (3/3 триместр),Có thai (Giai đoạn 3/3)
trait.religious_fanatic,,Религиозный фанатик,Religious fanatic,Religious fanatic,Náboženský fanatik,Fanatismo religioso,Fanatismo religioso,Fanatyzm religijny,宗教狂热信徒,狂熱信徒,宗教狂信者,종교 광신도,Religiöser Fanatismus,Fanatisme religieux,Fanatismo religioso,Dindar fanatik,Vallási fanatikus,Релігійний фанатизм,Kẻ cuồng tín tôn giáo
trait.robbery,,Ограбление,Robbery,Robbery,Krádež,Roubo,Atraco,Rozbój,抢劫,搶劫,強盗,강도,Raub,Cambriolage,Rapina,Hırsızlık,Rablás,Пограбування,Cướp bóc
trait.robbery_attempt,,Попытка ограбления,Attempted robbery,Attempted robbery,Pokus o krádež,Tentativa de roubo,Intento de atraco,Próba rozboju,抢劫未遂,搶劫未遂,強盗未遂,강도 미수,Versuchter Raub,Tentative de cambriolage,Tentata rapina,Hırsızlık girişimi,Rablási kísérlet,Спроба пограбування,Âm mưu cướp bóc
trait.sin_abuse,,Оскорбление,Insulted,Insulted,Urážka,Insulto,Insultado,Obraza,受辱,受辱,侮辱,모욕당함,Beleidigt,Insulte,Insulto,Hakaret edildi,Megsértették,Ображено,Bị xúc phạm
trait.sin_caption,,{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name},{trait_name}
trait.sin_criminal,,Преступник,Criminal,Criminal,Zločinec,Comete crimes,Criminal,Przestępca,罪犯,罪犯,犯罪,범죄자,Verbrecher,Crime,Criminalità,Suçlu,Bűnöző,Злочинність,Tội phạm
trait.sin_cuthroat,,Преступник,Cutthroat,Cutthroat,Hrdlořez,Facínora,Criminal,Zbój,刺客,刺客,殺し屋,흉악범,Handlanger,Coupe-jarret,Malvivente,Eşkıya,Briganti,Головоріз,Kẻ sát nhân
trait.sin_fight,,Драка,Fight,Fight,Boj,Briga,Pelea,Bójka,打斗,鬥毆,喧嘩,싸움,Kampf,Bagarre,Rissa,Savaş,Harc,Бійка,Đánh nhau
trait.sin_forbidden_sex,,Запретный секс,Forbidden sex,Forbidden sex,Zakázaný sex,Sexo proibido,Sexo prohibido,Zakazany seks,禁忌性行为,悖德的性愛,禁じられた性行為,금지된 성관계,Verbotener Sex,Fornication immorale,Sesso proibito,Yasak seks,Tiltott szex,Заборонений секс,Quan hệ tình dục bị cấm
trait.sin_seduce,,Соблазнение,Seduction,Seduction,Svedení,Sedução,Seducción,Uwiedzenie,诱惑,勾引,誘惑,유혹,Verführung,Séduction,Seduzione,Ayartma,Csábítás,Спокуса,Dụ dỗ
trait.sin_bribe,,Подкуп,Bribe,Bribe,Úplatek,Subornar,Soborno,Przekupstwo,贿赂,賄賂,賄賂,뇌물,Bestechung,Pot-de-vin,Corruzione,Rüşvet,Megvesztegetés,Підкуп,Hối lộ
trait.sin_divorce,,Развод,Divorce,Divorce,Rozvést,Divorciar-se,Divorcio,Rozwód,离婚,離婚,離婚,이혼,Scheidung,Divorce,Divorzio,Boşanma,Válás,Розлучитися,Ly hôn
trait.sin_unfair_attack,,Нечестное нападение,Unfair attack,Unfair attack,Neférový útok,Ataque injusto,Ataque injusto,Niesprawiedliwy atak,偷袭,無端攻擊,不当な攻撃,부당한 공격,Ungerechtfertigter Angriff,Attaque déloyale,Attacco sleale,Adaletsiz saldırı,Tisztességtelen támadás,Нечесний напад,Tấn công không công bằng
trait.sin_dark_action,,Темные дела,Dark deeds,Dark deeds,Temné skutky,Ações sinistras,Actos perversos,Zbrodnie,邪恶勾当,不法勾當,闇の所業,악행,Missetaten,Actes malveillants,Azioni maligne,Karanlık işler,Sötét tettek,Темні справи,Việc làm đen tối
trait.slave,,Пленник,Prisoner,Prisoner,Vězeň,Refém,Prisionero,Jeniec,囚犯,囚犯,囚人,수감자,Sklave,Prise d'otage,Prigionia,Mahkûm,Fogoly,В'язень,Tù nhân
trait.slave_roped,,Связан,Bound,Bound,Spoutání,Amarras,Atado,Związany,被束缚,受縛,拘束,결박,Gefesselt,Pieds et poings liés,Cattura,Bağlı,Meg van kötözve,Зв'язано,Bị trói
trait.roped_by_thugs,,Связан головорезами,Bound by assassins,Bound by assassins,Spoutání zabijáky,Amarras por assassinos,Atado por asesinos,Związany przez zabójców,被刺客束缚,被刺客五花大綁,暗殺者に拘束された,자객에게 결박,Von Handlangern gefesselt,Ligotage par des assassins,Cattura da parte degli assassini,Suikastçılar tarafından bağlandı,Orgyilkosok megkötözték,Зв'язано вбивцями,Bị trói bởi sát thủ
trait.slowness,,Сотрясение,Concussion,Concussion,Otřes mozku,Concussão,Conmoción,Ogłuszenie,脑震荡,腦震盪,脳震とう,뇌진탕,Gehirnerschütterung,Commotion,Concussione,Kafa sarsıntısı,Agyrázkódás,Струс мозку,Chấn thương não
trait.starvation,,Голодание,Starving,Starving,Hladovění,Inanição,Inanición,Głoduje,饥饿,挨餓,飢餓,굶주림,Verhungert,Faim intense,Denutrizione,Aç,Éhezik,Голод,Suy dinh dưỡng
trait.stunning,,Оглушение,Dazed,Dazed,Omráčení,Atordoamento,Aturdimiento,Zamroczenie,茫然,昏迷,めまい,혼미,Betäubt,Étourdissement,Stordimento,Başı dönüyor,Kába,Оглушено,Lú lẫn
trait.terror,,Жертва террора,Victim of terror,Victim of terror,Oběť teroru,Vítima de terror,Víctima del terror,Ofiara terroru,恐慌的受害者,受恐怖打壓,恐怖の被害者,공포 피해자,Terroropfer,Terreur,Vittima di terrore,Dehşet kurbanı,Terror áldozata,Жертва терору,Nạn nhân của sự khủng bố
trait.unconscious,,Без сознания,Unconscious,Unconscious,V bezvědomí,Inconsciente,Inconsciente,Brak przytomności,失去意识,失去意識,意識不明,의식 불명,Bewusstlos,Inconscience,Incoscienza,Baygın,Eszméletlen,Непритомніє,Bất tỉnh
trait.weak_bleeding,,Слабое кровотечение,Minor bleeding,Minor bleeding,Drobné krvácení,Sangramento leve,Hemorragia leve,Lekkie krwawienie,轻微出血,輕度流血,軽度の出血,경미한 출혈,Leichte Blutung,Hémorragie mineure,Emorragia lieve,Ufak kanama,Kisebb vérzés,Легка кровотеча,Chảy máu nhẹ
trait.scars,,Шрамы,Scarred,Scarred,Zjizvení,Cicatrizes,Con cicatrices,Blizny,有疤痕,留疤,傷がある,흉터 남음,Vernarbt,Cicatrices,Cicatrice,Yaralı,Forradásos,Шрами,Bị sẹo
trait.person,,Личность,Personality,Personality,Osobnost,Personalidade,Personalidad,Osobowość,性格,個性,性格,성격,Persönlichkeit,Personnalité,Personalità,Kişilik,Személyiség,Особистість,Tính cách
trait.scars_ugly,,Изуродованный,Mutilated,Mutilated,Zmrzačení,Mutilação,Mutilación,Okaleczenie,毁容,破相,切断,신체 훼손,Verstümmelt,Mutilation,Mutilazione,Sakat,Megcsonkított,Понівечено,Bị tàn phế
trait.tantrum,,Нервный срыв,Nervous breakdown,Nervous breakdown,Záchvat,Surto nervoso,Berrinche,Napad szału,精神崩溃,精神崩潰,神経衰弱,신경 쇠약,Nervenzusammenbruch,Dépression nerveuse,Esaurimento nervoso,Sinir Krizi,Szeszély,Вибрик,Khủng hoảng tinh thần
trait.throne_desire,,Желание трона,Desire for the throne,Desire for the throne,Touha po trůnu,Desejo pelo trono,Deseo por el trono,Pragnienie tronu,渴望王位,渴望王位,王位への欲望,왕좌에 대한 욕망,Sehnsucht nach dem Thron,Convoite le trône,Desiderio del trono,Taht arzusu,Trón utáni vágy,Бажання трону,Ham muốn ngai vàng
trait.inflamed_wound,,Воспалившаяся рана,Infected wound,Infected wound,Zanícená rána,Ferida infeccionada,Herida infectada,Zakażona rana,感染性伤口,傷口感染,感染した傷,감염된 상처,Infizierte Wunde,Blessure infectée,Ferita infetta,İltihaplı yara,Elfertőződött seb,Запалена рана,Vết thương nhiễm trùng
